流水號,主編號,屬性,又音
569,7300,又唸作,tsîng-sû
570,7339,又唸作,kháinn
571,7347,又唸作,kuà-sim
572,7358,又唸作,tshái-īng
573,7364,又唸作,tshui-hîng
574,7374,又唸作,sàu-tsiú
575,7374,又唸作,sàu-siú
576,7376,又唸作,sàu-tsiú-tshenn/sàu-tsiú-tshinn
577,7376,又唸作,sàu-siú-tshenn/sàu-siú-tshinn
578,7380,又唸作,am-ko̍k-ke/am-ko̍k-kue
579,7383,又唸作,kàu-guân
580,7407,又唸作,tshui-tshik
581,7414,又唸作,tshui-tsìn
582,7428,又唸作,tshui-kóng
583,7429,又唸作,khuà-lī/khuà-lū
584,7430,又唸作,thui-tshiâu
585,7431,又唸作,tshui-lūn
586,7432,又唸作,tshui-siau
587,7442,俗唸作,tshái-káng
588,7446,俗唸作,tsiap-sio̍k
589,7467,又唸作,muâi
590,7471,又唸作,muâi-á
591,7472,又唸作,muâi-á-piánn
592,7478,又唸作,muâi-to̍k
593,7507,又唸作,bueh-sí-bueh-ua̍h
594,7508,又唸作,bueh-nî
595,7510,又唸作,bueh-tsai
596,7521,又唸作,tiâu-khuánn
597,7525,又唸作,bueh-àm-á
598,7529,又唸作,khì-kuân
599,7570,又唸作,khín-bîn
600,7590,又唸作,tshing-muâi
601,7613,又唸作,hiān-tsú-sî
602,7630,又唸作,kiû-pe
603,7672,又唸作,a̍h-á
604,7684,又唸作,gán-tsîng
605,7734,又唸作,tsiong-tîng
606,7752,又唸作,siu
607,7798,又唸作,siāu-hin-tsiú
608,7822,又唸作,tsûn-guân
609,7823,又唸作,pôo-pôo
611,7833,又唸作,thuat-lî
612,7908,又唸作,phuē-long/phē-long
613,7988,又唸作,phuà-huè/phuà-hè
614,7991,又唸作,pûn-tuānn
615,7991,又唸作,pân-tuānn
616,7991,又唸作,pān-tuānn
617,7992,又唸作,pûn-tuānn-kut
618,7992,又唸作,pân-tuānn-kut
619,7992,又唸作,pān-tuānn-kut
620,8020,又唸作,liâm-pinn
621,8044,又唸作,tíng-iân
622,8100,又唸作,lo̍k-kiô
623,8148,又唸作,mâ-tshiok
624,8148,又唸作,bâ-tshiok
625,8149,又唸作,mâ-tshiok-jí-á/mâ-tshiok-lí-á
626,8149,又唸作,bâ-tshiok-jí-á/bâ-tshiok-lí-á
627,8159,又唸作,niáu-tshí-ta̍k-á/niáu-tshú-ta̍k-á
628,8173,又唸作,hî-lân-tshuì-á/hû-lân-tshuì-á
629,8188,又唸作,--ueh
630,8293,又唸作,pò-in
631,8307,俗唸作,û-su-kûn
632,8318,又唸作,muî-lâng
633,8320,又唸作,muî-lâng-kong
634,8321,又唸作,muî-lâng-pô
635,8322,又唸作,muî-lâng-tshuì
636,8323,又唸作,muî-lâng-lé
637,8330,又唸作,tsiū sī
638,8330,又唸作,tiō sī
639,8331,又唸作,tsū-án-ne
640,8331,合音唸作,tsua̋n-ne
641,8331,合音唸作,tsua̋n
642,8354,又唸作,kuí-lō
643,8354,又唸作,kuí-ā
644,8355,又唸作,kuí-ā kang
645,8384,又唸作,e̍h
646,8406,又唸作,nóo-khì
647,8415,又唸作,tsiáng-ak
648,8415,俗唸作,tsióng-ap
649,8420,又唸作,biâu-siá
650,8430,又唸作,tsiáng-khuân
651,8430,又唸作,tsióng-kuân
652,8454,又唸作,at-tshiú
653,8469,又唸作,kán-ná
654,8469,又唸作,ká-ná
655,8475,又唸作,pan-bé
656,8476,又唸作,pan-bé-suànn
657,8485,又唸作,tháu-khui
658,8486,又唸作,suànn-huē
659,8491,又唸作,kíng-tī
660,8513,又唸作,tiâu-tē
661,8558,俗唸作,ti̍t-bu̍t
