序號,主編碼,反義詞對應,音讀
1,36,25767,
2,54,1388,
3,96,25327,
4,124,26606,
5,146,1089,
6,146,2754,
7,152,8665,
8,152,8669,
9,195,204,
10,197,3346,
11,198,3346,
12,203,196,
13,204,196,
14,219,1803,
15,219,25160,
16,219,26938,
17,224,2986,
18,230,1803,
19,230,25160,
20,230,26938,
21,232,507,
22,248,8044,
23,248,8328,
24,248,26530,
25,255,259,
26,255,440,
27,259,255,
28,259,2528,
29,259,8078,
30,266,269,
31,268,1912,
32,268,8669,
33,268,25483,
34,269,266,
35,287,2636,
36,287,25068,
37,288,9952,
38,289,8056,
39,289,12096,
40,294,8058,
41,295,26813,
42,301,26476,
43,306,25080,
44,306,26812,
45,306,26815,
46,326,491,
47,331,103,
48,349,2626,
49,356,1752,
50,365,5651,
51,365,8071,
52,365,8107,
53,375,27082,
54,414,412,
55,414,11196,
56,431,461,
57,431,6876,
58,435,9970,
59,440,255,
60,440,2528,
61,440,8078,
62,446,491,
63,449,523,
64,453,1552,
65,453,8084,
66,461,431,
67,461,25144,
68,486,8071,
69,486,8102,
70,486,8107,
71,491,326,
72,491,446,
73,491,542,
74,492,8056,
75,492,12096,
76,496,9368,
77,498,497,
78,504,7793,
79,523,449,
80,525,6235,
81,527,25167,
82,527,25874,
83,530,531,
84,531,530,
85,533,3168,
86,533,4657,
87,533,8097,
88,541,26212,
89,551,25068,
90,556,8104,
91,556,26525,
92,556,26527,
93,558,2829,
94,583,1420,
95,584,1420,
96,585,1669,
97,590,8857,
98,592,2123,
99,599,1511,
100,604,25352,
101,618,647,
102,618,2559,
103,644,6953,
104,647,618,
105,647,8681,
106,648,6953,
107,648,25740,
108,648,26357,
109,662,1478,
110,668,2494,
111,672,3377,
112,674,1434,
113,674,1514,
114,678,25573,
115,680,1739,
116,685,1471,
117,685,25384,
118,692,1508,
119,696,1511,
120,700,1434,
121,700,1514,
122,701,1020,
123,702,1511,
124,702,1517,
125,708,25735,
126,715,7074,
127,733,12339,
128,744,9254,
129,744,9263,
130,751,26050,
131,753,8556,
132,753,10908,
133,753,25208,
134,775,2860,
135,792,2278,
136,793,2278,
137,796,4785,
138,796,12239,
139,817,2282,
140,829,25554,
141,829,26549,
142,843,6974,
143,843,26368,
144,862,2306,
145,863,2307,
146,875,25557,
147,875,25558,
148,882,4284,
149,896,1878,
150,896,2037,
151,896,7308,
152,897,25304,
153,899,1107,
154,904,2322,
155,906,25568,
156,916,2327,
157,917,2435,
158,920,2322,
159,931,456,
160,932,1749,
161,935,965,
162,935,1179,
163,939,25569,
164,940,9288,
165,951,2340,
166,956,1996,
167,965,935,
168,966,25570,
169,968,2429,
170,968,2582,
171,973,2348,
172,974,4021,
173,986,4390,
174,986,4424,
175,989,4390,
176,989,4424,
177,999,4996,
178,1000,5013,
179,1016,25582,
180,1019,5732,
181,1020,701,
182,1020,7881,
183,1020,8918,
184,1033,26915,
185,1047,796,
186,1053,2410,
187,1058,2037,
188,1058,7308,
189,1058,25249,
190,1070,7925,
191,1076,2379,
