主編號,屬性代號,詞目,音讀,文白,部首,部首序,方言差對應
5827,1,唐山,Tn̂g-suann,,,,
5828,1,原子筆,guân-tsú-pit,,,,
5829,1,厝內,tshù-lāi,,,,
5830,1,哪毋,ná m̄,,,,
5831,1,勍仔,khiang-á,,,,[方1]0046
5832,1,厝主,tshù-tsú,,,,
5833,1,原本,guân-pún,,,,
5834,1,哪未,ná buē/ná bē,,,,
5835,1,厝瓦,tshù-hiā,,,,[方1]0481
5836,1,原在,guân-tsāi,,,,
5837,1,厝地,tshù-tē/tshù-tuē,,,,
5838,1,厝宅,tshù-the̍h,,,,
5839,1,原早,guân-tsá,,,,
5840,1,原位,guân-uī,,,,
5841,1,原告,guân-kò,,,,
5842,1,原形,guân-hîng,,,,
5843,1,厝角鳥仔,tshù-kak-tsiáu-á,,,,[方1]0401
5844,1,厝角頭,tshù-kak-thâu,,,,
5845,1,哭呻,khàu-tshan,,,,
5846,1,原底,guân-té/guân-tué,,,,
5847,1,哭爸,khàu-pē,,,,
5848,1,哭爸哭母,khàu-pē-khàu-bú,,,,
5849,1,原則,guân-tsik,,,,
5850,1,厝契,tshù-khè/tshù-khuè,,,,
5851,1,哭枵,khàu-iau,,,,
5852,1,哥哥,ko--koh,,,,
5853,1,哼哼叫,hainn-hainn-kiò,,,,
5854,1,唔唔睏,onn-onn-khùn,,,,
5855,1,哩哩囉囉,li-li-lo-lo,,,,
5856,1,原料,guân-liāu,,,,
5857,1,原理,guân-lí,,,,
5858,1,厝頂,tshù-tíng,,,,
5859,1,唚喙,tsim-tshuì,,,,
5860,1,厝稅,tshù-suè/tshù-sè,,,,
5861,1,哪著,ná-tio̍h,,,,
5862,1,哽著,kénn-tio̍h,,,,[方1]0739
5863,1,哪會,ná ē,,,,
5864,1,厝跤,tshù-kha,,,,
5865,1,哭路頭,khàu-lōo-thâu,,,,
5866,1,原價,guân-kè,,,,
5867,1,哭調仔,khàu-tiāu-á,,,,
5868,1,原諒,guân-liōng,,,,
5869,1,原頭,guân-thâu,,,,
5870,1,厝頭家,tshù-thâu-ke,,,,
5871,1,厝邊,tshù-pinn,,,,[方1]0121
5872,1,厝邊頭尾,tshù-pinn-thâu-bué/tshù-pinn-thâu-bé,,,,
5873,1,匪類,huí-luī,,,,
5874,1,唷,--ioh,替,口,030-07-10,
5875,1,垺,pû,替,土,032-07-10,
5876,1,埋,bâi,,土,032-07-10,
5877,1,埋,tâi,替,土,032-07-10,
5878,1,埔,poo,,土,032-07-10,
5879,1,埕,tiânn,,土,032-07-10,
5880,1,夏,hā,文,夊,035-07-10,
5881,1,套,thò,,大,037-07-10,
5882,1,娘,niâ,白,女,038-07-10,
5883,1,娘,niû,白,女,038-07-10,[方]174
5884,1,娘𡢃,niû-kán,,,,
5885,1,埕斗,tiânn-táu,,,,
5886,1,娘仔,niû-á,,,,[方1]0935
5887,1,娘仔絲,niû-á-si,,,,
5888,1,娘仔葉,niû-á-hio̍h,,,,
5889,1,娘仔樹,niû-á-tshiū,,,,[方1]0291
5890,1,夏令營,hā-līng-iânn,,,,
5891,1,娘仔繭,niû-á-kián,,,,
5892,1,埔姜,poo-kiunn,,,,
5893,1,娘娘,niû-niû,,,,
5894,1,套話,thò-uē,,,,
5895,1,娘嬭,niû-lé,,,,
5896,1,孫,sun,,子,039-07-10,
5897,1,宮,king,白,宀,040-07-10,
5898,1,宮,kiong,文,宀,040-07-10,
5899,1,害,hāi,,宀,040-07-10,
5900,1,家,ka,文,宀,040-07-10,
5901,1,家,ke,白,宀,040-07-10,
5902,1,容,iông,,宀,040-07-10,
5903,1,射,siā,,寸,041-07-10,
5904,1,屑,sut,替,尸,044-07-10,
5905,1,展,tián,,尸,044-07-10,
5906,1,展,thián,替,尸,044-07-10,
5907,1,屘,ban,,子,039-07-10,
5908,1,島,tó/tóo,,山,046-07-10,[方]304
5909,1,崁,khàm,替,山,046-07-10,
5910,1,差,tsua̍h,替,工,048-07-10,
5911,1,差,tsha,文,工,048-07-10,
5912,1,差,tshe,白,工,048-07-10,
5913,1,師,sai,白,巾,050-07-10,
5914,1,師,su,文,巾,050-07-10,[方]254
5915,1,席,si̍k,,巾,050-07-10,
5916,1,座,tsō,,广,053-07-10,
5917,1,庫,khòo,,广,053-07-10,
5918,1,害了了,hāi-liáu-liáu,,,,
5919,1,宮女,kiong-lí/kiong-lú,,,,
5920,1,家己,ka-kī,,,,[方1]0825
5921,1,家己人,ka-kī-lâng,,,,
5922,1,容允,iông-ín/iông-ún,,,,
5923,1,差不多,tsha-put-to,,,,
5924,1,師父,su-hū,,,,
5925,1,孫仔,sun-á,,,,[方1]0518
5926,1,屘仔,ban-á,,,,
5927,1,師仔,sai-á,,,,
5928,1,師兄,su-hiann,,,,
5929,1,害去,hāi--khì,,,,
5930,1,師母,su-bió,,,,
5931,1,家甲,ke-kah,,,,
5932,1,家伙,ke-hué/ke-hé,,,,
5933,1,屘囝,ban-kiánn,,,,
5934,1,家私,ke-si,,,,[方1]0122
5935,1,家事,ka-sū,,,,
5936,1,宵夜,siau-iā,,,,
5937,1,師姑,su-koo,,,,
5938,1,庫房,khòo-pâng,,,,
5939,1,家長,ka-tiúnn,,,,
5940,1,家門,ka-mn̂g,,,,
5941,1,展威,tián-ui,,,,
5942,1,家後,ke-āu,,,,[方1]0497
5943,1,展風神,tián-hong-sîn,,,,
5944,1,家婆,ke-pô,,,,
5945,1,家教,ka-kàu,,,,
5946,1,差教,tshe-kà,,,,
5947,1,崁頂,khàm-tíng,,,,
5948,1,師傅,sai-hū,,,,
5949,1,孫婿,sun-sài,,,,
5950,1,展開,thián-khui,,,,
5951,1,宴會,iàn-huē,,,,
5952,1,崁跤,khàm-kha,,,,
5953,1,師資,su-tsu,,,,
5954,1,崁蓋,khàm-kuà,,,,
5955,1,容貌,iông-māu,,,,
5956,1,庫銀,khòo-gîn/khòo-gûn,,,,
5957,1,宮廟,king-biō,,,,
5958,1,射箭,siā-tsìnn,,,,
5959,1,師範的,su-huān--ê,,,,
5960,1,差錯,tsha-tshò,,,,
5961,1,庫錢,khòo-tsînn,,,,
5962,1,崁頭崁面,khàm-thâu-khàm-bīn,,,,
5963,1,展翼,thián-si̍t,,,,
5964,1,害蟲,hāi-thâng,,,,
5965,1,差額,tsha-gia̍h,,,,
5966,1,家譜,ka-phóo,,,,
5967,1,展寶,tián-pó,,,,
5968,1,展覽,tián-lám,,,,
5969,1,弱,jio̍k/lio̍k,,弓,057-07-10,
5970,1,徒,tôo,,彳,060-07-10,
5971,1,恁,lín,替,心,061-06-10,
5972,1,恥,thí,,心,061-06-10,
5973,1,恩,in,白,心,061-06-10,[方]412
5974,1,恩,un,文,心,061-06-10,[方]412
5975,1,恭,kiong,,心,061-06-10,
5976,1,扇,sìnn,白,戶,063-06-10,[方1]0921
5977,1,拳,kûn,白,手,064-06-10,
5978,1,挈,khe̍h,,手,064-06-10,
5979,1,挐,jû/lû,替,手,064-06-10,
5980,1,挨,e,白,手,064-07-10,[方]404
5981,1,挩,thuah,,手,064-07-10,
5982,1,挨米,e-bí,,,,
5983,1,徒弟,tôo-tē,,,,
5984,1,恐怖,khióng-pòo,,,,
5985,1,挩枋,thuah-pang,,,,[方1]0926
5986,1,恁爸,lín-pē,,,,
5987,1,挩門,thuah-mn̂g,,,,
5988,1,扇面,sìnn-bīn,,,,
5989,1,恁娘,lín-niâ,,,,
5990,1,恥笑,thí-tshiò,,,,
5991,1,恩情,un-tsîng,,,,
5992,1,挨推,e-the,,,,
5993,1,挨絃仔,e hiân-á,,,,
5994,1,恭喜,kiong-hí,,,,
5995,1,挩窗,thuah-thang,,,,
5996,1,恩愛,un-ài,,,,
5997,1,挨粿,e-kué/e-ké,,,,
5998,1,挐氅氅,jû-tsháng-tsháng/lû-tsháng-tsháng,,,,
5999,1,拳頭,kûn-thâu,,,,[方1]0538
6000,1,拳頭拇,kûn-thâu-bó,,,,
6001,1,拳頭師,kûn-thâu-sai,,,,
6002,1,恐驚,khióng-kiann,,,,
6003,1,挵,lòng,替,手,064-07-10,
6004,1,挺,thánn,白,手,064-07-10,
6005,1,挼,juê/lê,,手,064-07-10,[方]132
6006,1,挽,bán,,手,064-07-10,
6007,1,挾,gia̍p,,手,064-07-10,
6008,1,挾,nge̍h,,手,064-07-10,
6009,1,捀,phâng,,手,064-07-10,
6010,1,捅,thóng,,手,064-07-10,
6011,1,捆,khún,,手,064-07-10,
6012,1,捋,lua̍h,,手,064-07-10,[方]421
6013,1,捋,luah,替,手,064-07-10,
6014,1,捌,bat,替,手,064-07-10,[方1]0779
6015,1,捎,sa,,手,064-07-10,
6016,1,捏,lia̍p,,手,064-07-10,
6017,1,捏,tēnn/tīnn,替,手,064-07-10,[方]286
6018,1,捒,sak,替,手,064-07-10,
6019,1,捗,pôo,替,手,064-07-10,
6020,1,捘,tsūn,替,手,064-07-10,
6021,1,捙,tshia,替,手,064-07-10,
6022,1,揤,tshi̍h,替,手,064-07-10,[方1]0764
6023,1,敆,kap,,攴,066-06-10,
6024,1,效,hāu,,攴,066-06-10,
6025,1,料,liāu,,斗,068-06-10,
6026,1,旅,lí/lú,白,方,070-06-10,
6027,1,時,sî,,日,072-06-10,[方1]0106
6028,1,晃,huánn,替,日,072-06-10,
6029,1,效力,hāu-li̍k,,,,
6030,1,捀斗,phâng-táu,,,,
6031,1,捀水,phâng-tsuí,,,,
6032,1,捋仔,lua̍h-á,,,,[方1]0149
6033,1,時代,sî-tāi,,,,
6034,1,車布邊,tshia pòo-pinn,,,,
6035,1,挽回,bán-huê/bán-hê,,,,
6036,1,捌字,bat-jī/bat-lī,,,,
6037,1,旅行,lí-hîng/lú-hîng,,,,
6038,1,時行,sî-kiânn,,,,
6039,1,敆作,kap-tsoh,,,,
6040,1,捒走,sak-tsáu,,,,
6041,1,時辰,sî-sîn,,,,
6042,1,捙拚,tshia-piànn,,,,
6043,1,旅社,lí-siā/lú-siā,,,,[方1]0662
6044,1,挽花,bán hue,,,,
6045,1,挵門,lòng mn̂g,,,,
6046,1,旅客,lí-kheh/lú-kheh,,,,
6047,1,挽面,bán-bīn,,,,
6048,1,時候,sî-hāu,,,,
6049,1,時時,sî-sî,,,,
6050,1,時時刻刻,sî-sî-khik-khik,,,,
6051,1,捙畚斗,tshia-pùn-táu,,,,[方1]0953
6052,1,挵破,lòng-phuà,,,,
6053,1,挽脈,bán-me̍h,,,,
6054,1,挽茶,bán tê,,,,
6055,1,挽草,bán tsháu,,,,
6056,1,捀茶,phâng-tê,,,,
6057,1,時陣,sî-tsūn,,,,[方1]0106
6058,1,捒做堆,sak-tsò-tui/sak-tsuè-tui,,,,
6059,1,振動,tín-tāng,,,,
6060,1,時常,sî-siông,,,,
6061,1,挽救,bán-kiù,,,,
6062,1,挵球,lòng-kiû,,,,
6063,1,效率,hāu-lu̍t,,,,
6064,1,敆痕,kap-hûn,,,,
6065,1,料理,liāu-lí,,,,
6066,1,捌貨,bat-huè/bat-hè,,,,
6067,1,敆逝,kap-tsuā,,,,
6068,1,挽喙齒,bán tshuì-khí,,,,
6069,1,旅費,lí-huì/lú-huì,,,,
6070,1,捙跋反,tshia-pua̍h-píng,,,,
6071,1,時間,sî-kan,,,,
6072,1,時勢,sî-sè,,,,
6073,1,捌想,bat-siūnn,,,,
6074,1,料想,liāu-sióng,,,,
6075,1,料想袂到,liāu-sióng-bē-kàu/liāu-sióng-buē-kàu,,,,
6076,1,時運,sî-ūn,,,,
6077,1,揤電鈴,tshi̍h tiān-lîng,,,,
6078,1,挵鼓,lòng kóo,,,,
6079,1,挹墓粿,ip-bōng-kué/ip-bōo-ké,,,,
6080,1,鍤箕,tshiah-ki,,,,
6081,1,料算,liāu-sǹg,,,,
6082,1,時價,sî-kè,,,,
6083,1,捙盤,tshia-puânn,,,,
6084,1,時機,sî-ki,,,,
6085,1,捆縛,khún-pa̍k,,,,
6086,1,捎錢,sa-tsînn,,,,
6087,1,捅頭,thóng-thâu,,,,
6088,1,旅館,lí-kuán/lú-kuán,,,,[方1]0662
6089,1,捋頭毛,lua̍h thâu-mn̂g,,,,
6090,1,敆縫,kap-phāng,,,,
6091,1,捙輾斗,tshia-liàn-táu,,,,
6092,1,敆藥仔,kap-io̍h-á,,,,[方1]0090
6093,1,挵鐘,lòng tsing,,,,
6094,1,時鐘,sî-tsing,,,,
6095,1,捏麵尪仔,lia̍p-mī-ang-á,,,,
6096,1,晏,uànn,白,日,072-06-10,
6097,1,晟,tshiânn,替,日,072-06-10,
6098,1,書,tsu,白,曰,073-06-10,
6099,1,書,su,文,曰,073-06-10,
6100,1,朕,tīm,,月,074-06-10,
6101,1,柴,tshâ,,木,075-06-10,
6102,1,栓,sng,,木,075-06-10,
6103,1,校,hāu,,木,075-06-10,
6104,1,栱,kông,,木,075-06-10,
6105,1,核,hu̍t,白,木,075-06-10,
6106,1,根,kin/kun,,木,075-06-10,
6107,1,格,keh,白,木,075-06-10,
6108,1,栽,tsai,,木,075-06-10,
6109,1,桃,thô,文,木,075-06-10,[方]278
6110,1,框,khing,白,木,075-06-10,
6111,1,框,khong,文,木,075-06-10,
6112,1,案,àn,文,木,075-06-10,
6113,1,桌,toh,,木,075-06-10,[方]302
6114,1,柴㷮,tshâ-tsau,,,,
6115,1,柴刀,tshâ-to,,,,
6116,1,栗子,la̍t-tsí,,,,
6117,1,校工,hāu-kang,,,,
6118,1,校友,hāu-iú,,,,
6119,1,栓仔,sng-á,,,,
6120,1,格仔,keh-á,,,,
6121,1,桃仔,thô-á,,,,[方1]0309
6122,1,桌仔,toh-á,,,,[方1]0204
6123,1,根本,kin-pún/kun-pún,,,,
6124,1,桌布,toh-pòo,,,,
6125,1,案件,àn-kiānn,,,,
6126,1,桂竹,kuì-tik,,,,
6127,1,桂竹筍,kuì-tik-sún,,,,
6128,1,柴杙,tshâ-khi̍t,,,,
6129,1,桑材,sng-tsâi,,,,[方1]0937
6130,1,根底,kin-té/kun-tué,,,,
6131,1,案底,àn-té/àn-tué,,,,
6132,1,書房,tsu-pâng,,,,
6133,1,桐油,tâng-iû,,,,
6134,1,校舍,hāu-sià,,,,
6135,1,桂花,kuì-hue,,,,
6136,1,桃花,thô-hue,,,,
6137,1,柴門,tshâ-mn̂g,,,,
6138,1,校長,hāu-tiúnn,,,,
6139,1,書架仔,tsu-kè-á,,,,
6140,1,柴屐,tshâ-kia̍h,,,,[方1]0465
6141,1,桌崁,toh-khàm,,,,[方1]0210
6142,1,柴柴,tshâ-tshâ,,,,
6143,1,柴梳,tshâ-se/tshâ-sue,,,,
6144,1,柴砧,tshâ-tiam,,,,
6145,1,柴耙,tshâ-pê,,,,
6146,1,柴草,tshâ-tsháu,,,,
6147,1,核能,hi̍k-lîng,,,,
6148,1,晏起來,uànn khí--lâi,,,,
6149,1,栽培,tsai-puê,,,,
6150,1,桌屜,toh-thuah,,,,
6151,1,桌帷,toh-uî,,,,
6152,1,案情,àn-tsîng,,,,
6153,1,柴桶,tshâ-tháng,,,,
6154,1,桌頂,toh-tíng,,,,
6155,1,柴魚,tshâ-hî/tshâ-hû,,,,
6156,1,根節,kin-tsat/kun-tsat,,,,
6157,1,桌裙,toh-kûn,,,,
6158,1,桌跤,toh-kha,,,,
6159,1,校對,kàu-tuì,,,,
6160,1,柴寮,tshâ-liâu,,,,
6161,1,晟養,tshiânn-ióng,,,,
6162,1,根據,kin-kì/kun-kù,,,,
6163,1,柴頭,tshâ-thâu,,,,
6164,1,桌頭,toh-thâu,,,,[方1]0064
6165,1,柴頭尪仔,tshâ-thâu-ang-á,,,,
6166,1,柴鍥,tshâ-keh/tshâ-kueh,,,,
6167,1,桌櫃,toh-kuī,,,,
6168,1,書櫥,tsu-tû,,,,
6169,1,桔,kiat,,木,075-06-10,
6170,1,梳,se/sue,,木,075-06-10,
6171,1,欱,hap,替,欠,076-06-10,
6172,1,氣,khì,文,气,084-06-10,
6173,1,氣,khuì,白,气,084-06-10,
6174,1,浡,phū,替,水,085-07-10,
6175,1,浮,phû,白,水,085-07-10,
6176,1,海,hái,,水,085-07-10,
6177,1,浸,tsìm,,水,085-07-10,
6178,1,氣力,khuì-la̍t,,,,
6179,1,氣口,khuì-kháu,,,,
6180,1,浪子,lōng-tsú,,,,
6181,1,海口,hái-kháu,,,,
6182,1,海口腔,hái-kháu-khiunn,,,,
6183,1,浮冇,phû-phànn,,,,
6184,1,海水浴場,hái-tsuí i̍k-tiûnn,,,,
6185,1,桔仔,kiat-á,,,,[方1]0254
6186,1,桔仔汁,kiat-á-tsiap,,,,
6187,1,桔仔餅,kiat-á-piánn,,,,
6188,1,浮石,phû-tsio̍h,,,,
6189,1,海瓜子,hái-kue-tsí,,,,
6190,1,浮沉,phû-tîm,,,,
6191,1,海沙埔,hái-sua-poo,,,,
6192,1,氣身惱命,khì-sin-lóo-miā,,,,
6193,1,氣味,khì-bī,,,,[方1]0372
6194,1,海味,hái-bī,,,,
6195,1,海和尚,hái-huê-siūnn,,,,
6196,1,海岸,hái-huānn,,,,
6197,1,海底,hái-té/hái-tué,,,,
6198,1,氣怫怫,khì-phut-phut,,,,
6199,1,氣氛,khì-hun,,,,
6200,1,海狗,hái-káu,,,,
6201,1,浸柿,tsìm-khī,,,,
6202,1,海洋,hái-iûnn,,,,
6203,1,海虼蚻,hái-ka-tsua̍h,,,,
6204,1,海面,hái-bīn,,,,
6205,1,海風,hái-hong,,,,
6206,1,海埔,hái-poo,,,,
6207,1,海島,hái-tó,,,,
6208,1,海峽,hái-kiap,,,,
6209,1,海海,hái-hái,,,,
6210,1,海翁,hái-ang,,,,[方1]0282
6211,1,海豹,hái-pà,,,,
6212,1,浮動,phû-tāng,,,,
6213,1,海參,hái-sim,,,,
6214,1,泰國菝仔,thài-kok-pua̍t-á,,,,
6215,1,浮崙,phû-lūn,,,,
6216,1,海帶,hái-tuà,,,,
6217,1,浴桶,i̍k-tháng,,,,
6218,1,海產,hái-sán,,,,
6219,1,海產糜,hái-sán-muê/hái-sán-bê,,,,
6220,1,海蛇,hái-tsuâ,,,,
6221,1,海棠,hái-tông,,,,
6222,1,海湧,hái-íng,,,,
6223,1,海菜,hái-tshài,,,,
6224,1,氣象,khì-siōng,,,,
6225,1,浪費,lōng-huì,,,,
6226,1,海量,hái-liōng,,,,
6227,1,浴間仔,i̍k-king-á,,,,
6228,1,氣概,khì-khài,,,,
6229,1,海賊,hái-tsha̍t,,,,
6230,1,氣運,khì-ūn,,,,
6231,1,海墘,hái-kînn,,,,[方1]1000
6232,1,海漲,hái-tiòng,,,,
6233,1,海綿,hái-mî,,,,
6234,1,氣數,khì-sòo,,,,
6235,1,海線,hái-suànn,,,,
6236,1,海豬,hái-ti/hái-tu,,,,[方1]0328
6237,1,氣魄,khì-phik,,,,
6238,1,浪蕩,lōng-tōng,,,,
6239,1,梳頭,se-thâu/sue-thâu,,,,[方1]0763
6240,1,海龍王,Hái-lîng-ông,,,,
6241,1,氣壓,khì-ap,,,,
6242,1,海獺,hái-thuah,,,,
6243,1,海鰻,hái-muâ,,,,
6244,1,海鱺仔,hái-lē-á,,,,
6245,1,消,siau,,水,085-07-10,
6246,1,烈,lia̍t,,火,086-06-10,
6247,1,烌,hu,替,火,086-06-10,
6248,1,烏,oo,,火,086-06-10,
6249,1,烘,hang,白,火,086-06-10,
6250,1,爹,tia,,父,088-06-10,
6251,1,狹,e̍h/ue̍h,白,犬,094-07-10,[方]408
6252,1,烏𪐞紅,oo-tòo-âng,,,,
6253,1,烏㽎㽎,oo-sìm-sìm,,,,
6254,1,烏人,oo-lâng,,,,
6255,1,烏仁,oo-jîn/oo-lîn,,,,
6256,1,烏仁目鏡,oo-jîn-ba̍k-kiànn/oo-lîn-ba̍k-kiànn,,,,
6257,1,消化,siau-huà,,,,
6258,1,消水,siau-tsuí,,,,
6259,1,烏手,oo-tshiú,,,,
6260,1,烏毛,oo-moo,,,,
6261,1,烏心石,oo-sim-tsio̍h,,,,
6262,1,烏心肝,oo-sim-kuann,,,,
6263,1,烏天暗地,oo-thinn-àm-tē/oo-thinn-àm-tuē,,,,
6264,1,烘火,hang-hué/hang-hé,,,,
6265,1,消失,siau-sit,,,,
6266,1,烏市,oo-tshī,,,,
6267,1,烏白,oo-pe̍h,,,,
6268,1,烏白來,oo-pe̍h-lâi,,,,
6269,1,烏名單,oo-miâ-tuann,,,,
6270,1,烏有,oo-iú,,,,
6271,1,烏色,oo-sik,,,,[方1]0811
6272,1,烘肉,hang bah,,,,
6273,1,特色,ti̍k-sik,,,,
6274,1,烏耳鰻,oo-hīnn-muâ/oo-hī-muâ,,,,
6275,1,烏西,oo-se,,,,[方1]0040
6276,1,特別,ti̍k-pia̍t,,,,
6277,1,消災解厄,siau-tsai-kái-eh,,,,
6278,1,烏豆,oo-tāu,,,,
6279,1,消防隊,siau-hông-tuī,,,,
6280,1,消定,siau-tiānn,,,,
6281,1,烏枋,oo-pang,,,,[方1]0019
6282,1,烏枋拭仔,oo-pang-tshit-á,,,,[方1]0020
6283,1,烏油,oo-iû,,,,
6284,1,烏狗,oo-káu,,,,
6285,1,烏狗兄,oo-káu-hiann,,,,
6286,1,烏金,oo-kim,,,,
6287,1,烏青,oo-tshenn/oo-tshinn,,,,
6288,1,烏青凝血,oo-tshenn gîng-hueh/oo-tshinn gîng-huih,,,,
6289,1,消毒,siau-to̍k,,,,
6291,1,消風,siau-hong,,,,
6292,1,烏面抐桮,oo-bīn-lā-pue,,,,
6293,1,消息,siau-sit,,,,
6294,1,特效藥,ti̍k-hāu-io̍h,,,,
6295,1,烏格仔,oo-keh-á,,,,
6296,1,特殊,ti̍k-sû,,,,
6297,1,烏真珠,oo-tsin-tsu,,,,
6298,1,消除,siau-tû,,,,
6299,1,烏骨雞,oo-kut-ke/oo-kut-kue,,,,
6300,1,烏梅仔酒,oo-muê-á-tsiú/oo-m̂-á-tsiú,,,,
6301,1,烏甜仔菜,oo-tinn-á-tshài,,,,
6302,1,烏笛仔,oo-ta̍t-á,,,,
6303,1,烏陰,oo-im,,,,
6304,1,烏陰天,oo-im-thinn,,,,
6305,1,烏魚,oo-hî/oo-hû,,,,
6306,1,烏魚子,oo-hî-tsí/oo-hû-tsí,,,,
6307,1,烏麻油,oo-muâ-iû,,,,
6308,1,烏魚鰾,oo-hî-piō/oo-hû-piō,,,,
6309,1,烏喙筆仔,oo-tshuì-pit-á,,,,
6310,1,烏斑,oo-pan,,,,
6311,1,烏棗,oo-tsó,,,,
6312,1,狸猫,lî-bâ,,,,
6313,1,烏焦瘦,oo-ta-sán,,,,
6314,1,烏痣,oo-kì,,,,
6315,1,消費,siau-huì,,,,
6316,1,消費者,siau-huì-tsiá,,,,
6317,1,烏雲,oo-hûn,,,,
6318,1,烏塗,oo-thôo,,,,
6319,1,烏暗,oo-àm,,,,
6320,1,烏暗眩,oo-àm-hîn,,,,
6321,1,消極,siau-ki̍k,,,,
6322,1,消滅,siau-bia̍t,,,,
6323,1,烏煙,oo-ian,,,,
6324,1,烏滓血,oo-lái-hueh/oo-lái-huih,,,,
6325,1,烏煙黗,oo-ian-thûn,,,,
6326,1,烏道,oo-tō,,,,
6327,1,烏漚,oo-áu,,,,
6328,1,烏漉肚,oo-lok-tōo,,,,
6329,1,烏趖趖,oo-sô-sô,,,,
6330,1,消遣,siau-khián,,,,
6331,1,烏墨,oo-ba̍k,,,,
6332,1,烏影,oo-iánn,,,,
6333,1,烏璇石,oo-suān-tsio̍h,,,,
6334,1,消瘦落肉,siau-sán-lo̍h-bah,,,,
6335,1,烏蝛,oo-bui,,,,
6336,1,烏醋,oo-tshòo,,,,
6337,1,烏鴉,oo-a,,,,
6338,1,烏魯木齊,oo-lóo-bo̍k-tsè,,,,
6339,1,烏鴉喙,oo-a-tshuì,,,,
6340,1,烏糖,oo-thn̂g,,,,
6341,1,烏糖粿,oo-thn̂g-kué/oo-thn̂g-ké,,,,
6342,1,烏貓,oo-niau,,,,
6343,1,烏貓姊仔,oo-niau-tsí--á,,,,
6344,1,烏頭仔車,oo-thâu-á-tshia,,,,
6345,1,烏龜,oo-ku,,,,
6346,1,烏龜,oo-kui,,,,[方1]0955
6347,1,烏龍仔,oo-liông-á,,,,
6348,1,烏龍茶,oo-liông-tê,,,,
6349,1,烏甕串,oo-àng-tshǹg,,,,
6350,1,烏鯧,oo-tshiunn,,,,
6351,1,烘爐,hang-lôo,,,,[方1]0934
6352,1,烏鶖,oo-tshiu,,,,
6353,1,特權,ti̍k-khuân,,,,
6354,1,狼,lông,,犬,094-07-10,
6355,1,珠,tsu,,玉,096-06-10,
6356,1,班,pan,,玉,096-06-10,
6357,1,留,lâu,白,田,102-05-10,
6358,1,留,liû,文,田,102-05-10,
6359,1,畜,thik,白,田,102-05-10,
6360,1,泄,tshuā,替,水,085-05-08,
6361,1,疶,tshuah,替,疒,104-05-10,
6362,1,疼,thiànn,替,疒,104-05-10,
6363,1,痀,ku,,疒,104-05-10,
6364,1,病,pēnn/pīnn,白,疒,104-05-10,[方]207
6365,1,症,tsìng,,疒,104-05-10,
6366,1,病人,pēnn-lâng/pīnn-lâng,,,,
6367,1,畚斗,pùn-táu,,,,
6368,1,珠仔,tsu-á,,,,[方1]0032
6369,1,畜生,thik-senn/thik-sinn,,,,
6370,1,泄尿,tshuā-jiō/tshuā-liō,,,,
6371,1,病床,pēnn-tshn̂g/pīnn-tshn̂g,,,,
6372,1,班長,pan-tiúnn,,,,
6373,1,疶屎,tshuah-sái,,,,
6374,1,疼某菜,thiànn-bóo-tshài,,,,
6375,1,狼毒,lông-to̍k,,,,
6376,1,病相思,pēnn-siunn-si/pīnn-siunn-si,,,,
6377,1,狼狽,lông-puē,,,,
6378,1,病疼,pēnn-thiànn/pīnn-thiànn,,,,
6379,1,病院,pēnn-īnn/pīnn-īnn,,,,[方1]0001
6380,1,疼惜,thiànn-sioh,,,,
6381,1,病情,pēnn-tsîng/pīnn-tsîng,,,,
6382,1,珠淚,tsu-luī,,,,
6383,1,疲勞,phî-lô,,,,
6384,1,疼痛,thiànn-thàng,,,,
6385,1,畚箕,pùn-ki,,,,[方1]0542
6386,1,疳瘡,kam-tshng,,,,
6387,1,珠蔥,tsu-tshang,,,,
6388,1,疳積,kam-tsik,,,,
6389,1,症頭,tsìng-thâu,,,,
6390,1,珠螺,tsu-lê,,,,
6391,1,珠螺膎,tsu-lê-kê/tsu-lê-kuê,,,,
6392,1,珠寶,tsu-pó,,,,
6393,1,留戀,liû-luân,,,,
6394,1,病體,pēnn-thé/pīnn-thé,,,,
6395,1,盍,khah,替,皿,108-05-10,
6396,1,真,tsin,,目,109-05-10,[方1]0822
6397,1,眠,bîn,白,目,109-05-10,
6398,1,眩,hîn,,目,109-05-10,
6399,1,砧,tiam,,石,112-05-10,[方1]0160
6400,1,破,phò,文,石,112-05-10,
6401,1,破,phuà,白,石,112-05-10,
6402,1,祖,tsóo,,示,113-05-10,
6403,1,眠一下,bîn--tsi̍t-ē,,,,
6404,1,祖公,tsóo-kong,,,,
6405,1,真心,tsin-sim,,,,
6406,1,祕方,pì-hng,,,,
6407,1,破少年,phuà-siàu-liân,,,,
6408,1,真正,tsin-tsiànn,,,,
6409,1,破布子,phuà-pòo-tsí,,,,
6410,1,砧皮鞋,tiam-phuê-ê/tiam-phê-uê,,,,
6411,1,眠床,bîn-tshn̂g,,,,[方1]0141
6412,1,眠床枋,bîn-tshn̂g-pang,,,,
6413,1,眩車,hîn-tshia,,,,
6414,1,真拄好,tsin-tú-hó,,,,
6415,1,破空,phuà-khang,,,,
6416,1,破相,phuà-siùnn,,,,
6417,1,祖厝,tsóo-tshù,,,,
6418,1,破柴,phuà tshâ,,,,
6419,1,破格,phuà-keh,,,,
6420,1,祕書,pì-su,,,,
6421,1,破格喙,phuà-keh-tshuì,,,,
