主編號,屬性代號,詞目,音讀,文白,部首,部首序,方言差對應
71,1,十二生相,tsa̍p-jī senn-siùnn/tsa̍p-lī sinn-siùnn,,,,
72,1,十二指腸,si̍p-jī-tsí-tn̂g/si̍p-lī-tsí-tn̂g,,,,
73,1,二九暝,Jī-káu-mê/Lī-káu-mî,,,,
74,1,十八骰仔,si̍p-pat-tâu-á,,,,
75,1,十八變,tsa̍p-peh-piàn/tsa̍p-pueh-piàn,,,,
76,1,七夕,tshit-sia̍h,,,,
77,1,了工,liáu-kang,,,,
78,1,人工,lâng-kang,,,,
79,1,人才,lâng-tsâi,,,,
80,1,入土,ji̍p-thóo/li̍p-thóo,,,,
81,1,刁工,thiau-kang,,,,
82,1,人中,jîn-tiong/lîn-tiong,,,,
83,1,七孔,tshit-khóng,,,,
84,1,九孔,káu-kháng,,,,[方1]0286
85,1,二手,jī-tshiú/lī-tshiú,,,,
86,1,入木,ji̍p-bo̍k/li̍p-bo̍k,,,,
87,1,八仙,pat-sian,,,,
88,1,刀仔,to-á,,,,
89,1,八仙桌,pat-sian-toh,,,,
90,1,八仙綵,pat-sian-tshái,,,,
91,1,刁古董,tiau-kóo-tóng,,,,
92,1,了本,liáu-pún,,,,
93,1,人民,jîn-bîn/lîn-bîn,,,,
94,1,人生,jîn-sing/lîn-sing,,,,
95,1,刀石,to-tsio̍h,,,,
96,1,十全,tsa̍p-tsn̂g,,,,
97,1,十全,si̍p-tsuân,,,,
98,1,八字,peh-jī/pueh-lī,,,,
99,1,七字仔,tshit-jī-á/tshit-lī-á,,,,
100,1,十字架,si̍p-jī-kè/si̍p-lī-kè,,,,
101,1,八字跤,pat-jī-kha/pat-lī-kha,,,,
102,1,十字路,si̍p-jī-lōo/si̍p-lī-lōo,,,,
103,1,七早八早,tshit-tsá-peh-tsá/tshit-tsá-pueh-tsá,,,,
104,1,入耳,ji̍p-ní/li̍p-ní,,,,
105,1,刀肉,to-bah,,,,
106,1,七老八老,tshit-lāu-peh-lāu/tshit-lāu-pueh-lāu,,,,
107,1,了尾仔囝,liáu-bué-á-kiánn/liáu-bé-á-kiánn,,,,
108,1,二步七仔,--jī-pōo-tshit-á/--lī-pōo-tshit-á,,,,
109,1,八角,peh-kak/pueh-kak,,,,
110,1,十足,tsa̍p-tsiok,,,,
111,1,九芎仔,kiú-kiong-á,,,,
112,1,人事,jîn-sū/lîn-sū,,,,
113,1,八卦,pat-kuà,,,,
114,1,卜卦,pok-kuà,,,,[方1]0010
115,1,二房,jī-pâng/lī-pâng,,,,
116,1,人物,jîn-bu̍t/lîn-bu̍t,,,,
117,1,十花五色,tsa̍p-hue-gōo-sik,,,,
118,1,入門,ji̍p-mn̂g/li̍p-mn̂g,,,,
119,1,人客,lâng-kheh,,,,
120,1,了後,liáu-āu,,,,
121,1,七星,tshit-tshenn/tshit-tshinn,,,,
122,1,二指,jī-tsáinn/lī-tsáinn,,,,[方1]0684
123,1,刁持,tiau-tî,,,,
124,1,刁故意,tiau-kòo-ì,,,,
125,1,刀柄,to-pènn/to-pìnn,,,,
126,1,八珍,pat-tin,,,,
127,1,人面,lâng-bīn,,,,
128,1,人倫,jîn-lûn/lîn-lûn,,,,
129,1,人員,jîn-uân/lîn-uân,,,,
130,1,入厝,ji̍p-tshù/li̍p-tshù,,,,
131,1,七娘媽,Tshit-niû-má,,,,
132,1,七娘媽生,Tshit-niû-má-senn/Tshit-niû-má-sinn,,,,
133,1,人家,jîn-ke/lîn-ke,,,,
134,1,人家厝仔,jîn-ke-tshù-á/lîn-ke-tshù-á,,,,
135,1,八家將,pat-ka-tsiòng,,,,
136,1,人格,jîn-keh/lîn-keh,,,,
137,1,人氣,jîn-khì/lîn-khì,,,,
138,1,刀砧,to-tiam,,,,[方1]0160
139,1,人馬,jîn-má/lîn-má,,,,
140,1,入院,ji̍p-īnn/li̍p-īnn,,,,
141,1,人參,jîn-sim/lîn-sim,,,,[方1]0091
142,1,人情,jîn-tsîng/lîn-tsîng,,,,
143,1,人情世事,jîn-tsîng-sè-sū/lîn-tsîng-sè-sū,,,,
144,1,入教,ji̍p-kàu/li̍p-kàu,,,,
145,1,人望,jîn-bōng/lîn-bōng,,,,
146,1,人造,jîn-tsō/lîn-tsō,,,,
147,1,刀喙,to-tshuì,,,,
149,1,入場,ji̍p-tiûnn/li̍p-tiûnn,,,,
150,1,了然,liáu-jiân/liáu-liân,,,,
151,1,力量,li̍k-liōng,,,,
152,1,刁意故,thiau-ì-kòo,,,,
