序號,主編碼,又音,又音類型(1.又唸作 2.俗唸作 3.合音唸作)
2,43,tsi̍t-táu-kú-á,1
3,72,tsa̍p-jī-tsí-tn̂g/tsa̍p-lī-tsí-tn̂g,1
4,76,tshit-si̍k,1
5,81,tiau-kang,1
6,123,thiau-tî,1
7,124,thiau-kòo-ì,1
8,129,jîn-guân/lîn-guân,1
9,141,jîn-sam/lîn-sam,1
10,141,jîn-som/lîn-som,1
11,160,ji̍p-ha̍k/li̍p-ha̍k,1
12,167,tiau-lân,1
13,168,jîn-kuân/lîn-kuân,1
14,184,ā,1
15,187,hān,1
16,232,siāng-kú,1
17,252,siáu-thiúnn-á,1
18,263,thóo-ba̍k,1
19,287,siāng-ke,1
20,307,kiú-ióng,2
21,314,siāng hó,1
22,315,ā-hó,1
23,317,Thóo-lī-kong,1
24,354,siáu-jî-kho/siáu-lî-kho,1
25,359,tuā-tsé,1
26,372,ē-hng,1
27,372,enn-hng,1
28,372,i̋ng,3
29,374,enn-hng-àm,1
30,374,ing-àm,3
31,381,tshiūnn-tshenn-tî/tshiūnn-tshinn-tî,1
32,393,ā sī,1
33,439,e-tàu,1
34,439,ēnn-tàu,1
35,440,e-poo,1
36,456,kan-tann,1
37,456,kan-ta,1
38,459,kang-thîng,1
39,460,kang-thîng-su,1
40,464,thóo-pa̍t-á,1
41,470,suann-sì,1
42,472,enn-àm,1
43,484,tuā-bak-tóo,1
44,507,siāng kín,1
45,510,siāng-kài,1
46,511,siáu-suat,1
47,535,ē-huâi,1
48,536,tuā-o̍h,1
49,537,sió-o̍h,1
50,544,siāng-thâu-á,1
51,545,tuā-thâu-bó,1
52,551,siāng tsē/siāng tsuē,1
53,552,tsiūnn-siann,1
54,552,siōng-siann,1
55,559,ē-khok,1
56,559,ē-gok,1
57,623,lāi-sim,1
58,637,ta̋nn,3
59,645,kang-bú,1
60,652,hoo,3
61,685,lāi-tsìng,1
62,705,lāi-iông,1
63,719,put-tit-liáu,1
64,720,put-tit-í,1
65,729,lāi-pōo,1
66,732,kong-ú,2
67,744,pun-khui,1
68,765,lāi-koh,1
69,769,tiong-o̍h,1
70,790,páinn,1
71,791,jīm/līm,1
72,817,phái,1
73,820,moo,1
74,835,tshiú-ē,1
75,847,thian-tsénn/thian-tsínn,1
76,881,thài-phîng,1
77,884,tsuí-bú,1
78,888,khiàm-iōng,1
79,890,tsuí-tiân,1
80,905,thian-tē/thian-tuē,1
81,928,bo̍k-jí,1
82,928,bo̍k-mí,1
83,931,m̄-niā,1
84,942,bo̍k-tshâi,1
85,958,hong-gân,1
86,999,m̄-ti̍nnh,1
87,1027,ngóo-sî,1
88,1029,thinn-sî,1
89,1031,m̄ pat,1
90,1036,bûn-si,1
91,1057,sim-tsiânn,1
92,1061,sin-sóng,1
93,1062,thinn-lí,1
94,1067,bûn-tsiunn,1
95,1075,bo̍k-mâ-hông,1
96,1079,phí-jū/phí-lū,1
97,1104,thian-ì,1
98,1118,pháinn-bak-tóo,1
99,1124,m̄-kò,1
100,1124,m̄-kù,1
101,1140,tshiú-tsí-phōo-á,1
102,1166,bûn-pîn,1
103,1197,píng-lìn-tńg,1
104,1202,suí-ke/suí-kue,1
105,1213,tshiú-long,1
106,1239,gû-bú,1
107,1272,gû-tshuì-lam,1
108,1301,hué-ke-bú/hé-kue-bú,1
109,1315,kâng,1
110,1336,hiann-tī-tsí-muāi,1
111,1345,kāng-pē-koh-bó,1
112,1361,tāi-si,1
113,1362,tshian-tsháu,1
114,1377,tshé-bān,1
115,1385,tsú-kuân,1
116,1400,khá,1
117,1408,tho,1
118,1415,khónn,1
119,1422,puànn-thenn-tó,1
120,1448,sù-hong,1
121,1492,khónn-phànn,1
122,1502,puànn-sìn-puànn-gî,1
123,1519,tshut-tshe,1
124,1532,khónn-lîng,1
125,1545,ke-thinn,1
126,1560,khónn-ònn,1
127,1561,khónn-náu,1
128,1602,sì-khoo-lìn-tńg,1
129,1630,khiò-siā,1
130,1690,tsiann-gue̍h/tsiann-ge̍h,1
131,1696,bó-á-kiánn,1
132,1698,ling-bó/ni-bó,1
133,1704,ling-bó-tshia/ni-bó-tshia,1
134,1708,bó-kiánn-í,1
135,1717,bó-kīm,1
136,1719,tá-pān,1
137,1725,bú-sin,1
138,1739,bú--ê,1
139,1742,bú-kim,1
140,1759,ka-tsiah,1
141,1761,ka-tsiah-āu,1
142,1762,ka-tsiah-phiann,1
143,1764,tiám-má-ka,1
144,1765,tiám-má-ka-lōo,1
145,1770,tá-thàm,1
146,1772,tá-tháng,1
147,1775,tsiànn-thóng,1
148,1779,tsiànn-tôo,1
149,1805,bó-kū,1
150,1806,bó-kū-kong,1
151,1812,sit-ngōo,1
152,1820,bió-tshin,1
153,1820,bóo-tshin,1
154,1823,bó-tsînn,1
155,1828,tá-kik,1
156,1835,tá-jiáu/tá-liáu,1
157,1842,bó-thé,1
158,1843,sit-thé-biān,1
159,1877,pe̍h-lāi-tsiòng,1
160,1881,pe̍h-bo̍k-jí,1
161,1882,gio̍k-á,1
162,1892,tshenn-hūn/tshinn-hūn,1
163,1893,tshenn-hūn-lâng/tshinn-hūn-lâng,1
164,1900,senn-tsiânn/sinn-tsiânn,1
165,1909,tsio̍h-gám,1
166,1926,ba̍k-tsîng,1
167,1949,pi̍k-tài,1
168,1969,si̍k-kám-tong,1
169,1987,ba̍k-tsia̍p-mn̂g,1
170,2008,bo̍k-phiau,1
171,2023,bo̍k-lio̍k,1
172,2069,sin-senn,1
173,2069,sian-senn,1
174,2070,sin-senn-niû,1
