序號,方言差編碼,字目,鹿港,三峽,臺北,宜蘭,臺南,高雄,金門,馬公,新竹,臺中
257,[方]164,夾(～菜),gueh,gereh,ngeh,ngeh,ngeh,ngeh,ngueh,ngeh,gueh,ngeh
258,[方]123,莢(豆～),gueh,gereh,kueh,ngeh,ngeh,ngeh,ngueh,kueh,ngueh,ngeh
259,[方]166,吳,ngôo,ngôo,ngôo,gôo,gôo,ngôo,gôo,ngôo,ngôo,gôo
260,[方]171,兩,niú,niú,niú,niú,nióo,niú,niú,niú,niú,niú
261,[方]172,量,niû,niû,niû,niû,niôo,niû,niû,niû,niû,niû
262,[方]173,糧,niû,niû,niû,niû,niôo,niû,niû,niû,niû,niû
263,[方]174,娘,niû,niû,niû,niû,niôo,niû,niû,niû,niû,niû
264,[方]175,梁,niû,niû,niû,niû,niôo,niû,niû,niû,niû,niû
265,[方]176,樑,niû,niû,niû,niû,niôo,niû,niû,niû,niû,niû
266,[方]177,讓,niū,niū,niū,niū,niōo,niū,niū,niū,niū,niū
267,[方]178,量,niū,niū,niū,niū,niōo,niū,niū,niū,niū,niū
268,[方]179,軟,nńg,nńg,nńg,nuí,nńg,nńg,nńg,nńg,nńg,nńg
269,[方]180,軁(鑽),nǹg,nǹg,nǹg,nuì,nǹg,nǹg,nǹg,nǹg,nǹg,nǹg
270,[方]181,圇(加～),nn̂g,nn̂g,nn̂g,nuî,nn̂g,nn̂g,nn̂g,nn̂g,nn̂g,nn̂g
271,[方]183,卵,nňg,nn̄g,nn̄g,nuī,nn̄g,nn̄g,nn̄g,nn̄g,nn̄g,nn̄g
272,[方]188,芋,ǒo,ōo,ōo,ōo,ōo,ōo,ōo,ōo,ōo,ōo
273,[方]184,呵,o,o,o,o,or,or,o,o,o,o
274,[方]185,蚵,ô,ô,ô,ô,ôr,ôr,ô,ô,ô,ô
275,[方]186,僫,oh,oh,oh,oh,orh,orh,oh,oh,oh,oh
276,[方]187,學,o̍h,o̍h,o̍h,o̍h,o̍rh,o̍rh,o̍h,o̍h,o̍h,o̍h
277,[方]204,柄,pìnn,pìnn,pìnn,pènn,pènn,pènn,pìnn,pìnn,pìnn,pènn
278,[方]205,平,pînn,pînn,pînn,pênn,pênn,pênn,pînn,pînn,pînn,pênn
279,[方]206,棚,pînn,pînn,pînn,pênn,pênn,pênn,pînn,pînn,pînn,pênn
280,[方]207,病,pǐnn,pīnn,pīnn,pēnn,pēnn,pēnn,pīnn,pīnn,pīnn,pēnn
281,[方]203,反,píng; puínn,píng,píng,píng,píng,píng,páinn,pán,píng,píng
282,[方]208,方,png,png,png,puinn,png,png,png,png,png,png
283,[方]209,飯,pňg,pn̄g,pn̄g,puīnn,pn̄g,pn̄g,pn̄g,pn̄g,pn̄g,pn̄g
284,[方]217,斧,póo,póo,póo,phú,póo,póo,póo,póo,póo,póo
285,[方]218,哺,pǒo,pōo,pōo,pōo,pōo,pōo,pōo,pōo,pōo,pōo
286,[方]219,步,pǒo,pōo,pōo,pōo,pōo,pōo,pōo,pōo,pōo,pōo
287,[方]210,褒,po,po,po,po,por,por,po,po,po,po
288,[方]211,玻,po,po,po,po,por,por,po,po,po,po
289,[方]212,保,pó,pó,pó,pó,pór,pór,pó,pó,pó,pó
290,[方]213,寶,pó,pó,pó,pó,pór,pór,pó,pó,pó,pó
291,[方]214,報,pò,pò,pò,pò,pòr,pòr,pò,pò,pò,pò
292,[方]215,婆,pô,pô,pô,pô,pôr,pôr,pô,pô,pô,pô
293,[方]216,薄,po̍h,po̍h,po̍h,po̍h,po̍rh,po̍rh,po̍h,po̍h,po̍h,po̍h
294,[方]189,菠(～薐菜),per,per,pe,pue,pue,pue,per,pe,per;pe,pue
295,[方]190,飛,per,per,pe,pue,pue,pue,per,pe,per;pe,pue
296,[方]191,掰,pér,pér,pé,pué,pué,pué,pér,pé,pér;pé,pué
297,[方]192,賠,pêr,pêr,pê,puê,puê,puê,pêr,pê,pêr;pê,puê
298,[方]193,倍,pěr,pēr,pē,puē,puē,puē,pēr,pē,pēr;pē,puē
299,[方]194,焙,pěr,pēr,pē,puē,puē,puē,pēr,pē,pēr;pē,puē
300,[方]220,拔,pue̍h,pue̍h,pui̍h,pue̍h,pue̍h,pue̍h,pui̍h,pue̍h,pui̍h,pue̍h
301,[方]199,鼻,phǐ; phī,phī,phīnn,phīnn,phīnn,phīnn,phī,phīnn,phīnn,phīnn
302,[方]202,簿,phǒo,phōo,phōo,phōo,phōo,phōo,phōo,phōo,phōo,phōo
303,[方]200,抱,phǒ,phō,phō,phō,phōr,phōr,phō,phō,phō,phō
304,[方]201,粕,phoh,phoh,phoh,phoh,phorh,phorh,phoh,phoh,phoh,phoh
305,[方]195,胚,pher,pher,phe,phue,phue,phue,pher,phe,pher;phe,phue
306,[方]196,配,phèr,phèr,phè,phuè,phuè,phuè,phèr,phè,phèr;phè,phuè
307,[方]197,皮,phêr,phêr,phê,phuê,phuê,phuê,phêr,phê,phêr;phê,phuê
308,[方]198,被,phēr,phēr,phē,phuē,phuē,phuē,phēr,phē,phēr;phē,phuē
309,[方]259,黍,sué,seré,sué,sé,sé,sé,sué,sué,sué,sé
310,[方]260,洗,sué,seré,sué,sé,sé,sé,sué,sué,sué,sé
311,[方]261,細,suè,serè,suè,sè,sè,sè,suè,suè,suè,sè
312,[方]222,雪,serh,serh,seh,seh,seh,seh,serh,seh,serh;seh,seh
313,[方]224,踅,se̍rh,se̍rh,se̍h,se̍h,se̍h,se̍h,se̍rh,se̍h,se̍rh;se̍h,se̍h
314,[方]231,生,sinn,sinn,sinn,senn,senn,senn,sinn,sinn,sinn,senn
315,[方]232,牲,sinn,sinn,sinn,senn,senn,senn,sinn,sinn,sinn,senn
317,[方]234,姓,sìnn,sìnn,sìnn,sènn,sènn,sènn,sìnn,sìnn,sìnn,sènn
318,[方]235,性(～命),sìnn,sìnn,sìnn,sènn,sènn,sènn,sìnn,sìnn,sìnn,sènn
319,[方]257,嶼,sǐr,sīr,sū,sī,sī,sū,sīr,sū,sīr,sū
320,[方]226,鉎,san,san,sian,sian,sian,sian,san,san,san,sian
321,[方]227,雙,sang,sang,siang,siang,siang,siang,sang,sang,sang,siang
322,[方]228,參,serm,sim; som,sim,som,som,sim,sim,sim;song,sim,som
323,[方]229,森,serm,sim; som,sim,som,sim,sim,sim,sim,sim,som
324,[方]230,芟,sng,sing,sing,sing,sing,sing,san,san,sing,sing
325,[方]236,箱,siunn,siunn,siunn,siunn,sionn,siunn,siunn,siunn,siunn,siunn
326,[方]237,相,siunn,siunn,siunn,siunn,sionn,siunn,siunn,siunn,siunn,siunn
327,[方]238,傷,siunn,siunn,siunn,siunn,sionn,siunn,siunn,siunn,siunn,siunn
328,[方]239,賞,siúnn,siúnn,siúnn,siúnn,siónn,siúnn,siúnn,siúnn,siúnn,siúnn
329,[方]240,鯗,siúnn,siúnn,siúnn,siúnn,siónn,siúnn,siúnn,siúnn,siúnn,siúnn
330,[方]241,相,siùnn,siùnn,siùnn,siùnn,siònn,siùnn,siùnn,siùnn,siùnn,siùnn
331,[方]242,𣻸,siûnn,siûnn,siûnn,siûnn,siônn,siûnn,siûnn,siûnn,siûnn,siûnn
332,[方]243,想,siǔnn,siūnn,siūnn,siūnn,siōnn,siūnn,siūnn,siūnn,siūnn,siūnn
333,[方]244,尚,siǔnn,siūnn,siūnn,siūnn,siōnn,siūnn,siūnn,siūnn,siūnn,siūnn
334,[方]245,酸,sng,sng,sng,suinn,sng,sng,sng,sng,sng,sng
335,[方]246,損,sńg,sńg,sńg,suínn,sńg,sńg,sńg,sńg,sńg,sńg
336,[方]247,算,sǹg,sǹg,sǹg,suìnn,sǹg,sǹg,sǹg,sǹg,sǹg,sǹg
337,[方]248,鎖,só,só,só,só,sór,sór,só,só,só,só
338,[方]249,嫂,só,só,só,só,sór,sór,só,só,só,só
339,[方]250,燥,sò,sò,sò,sò,sòr,sòr,sò,sò,sò,sò
340,[方]251,埽(糞～),sò,sò,sò,sò,sòr,sòr,sò,sò,sò,sò
341,[方]252,趖,sô,sô,sô,sô,sôr,sôr,sô,sô,sô,sô
342,[方]253,索,soh,soh,soh,soh,sorh,sorh,soh,soh,soh,soh
343,[方]254,師,sir,sir,su,su,su,su,sir,su,sir;su,su
344,[方]255,嗣,sîr,sîr,sû,sû,sû,sû,sîr,sû,sîr,sû
345,[方]256,殊,sîr,sîr,sû,sû,sû,sû,sîr,sû,sû,sû
346,[方]258,事,sǐr,sīr,sū,sū,sū,sū,sīr,sū,sīr,sū
347,[方]221,稅,sèr,sèr,sè,suè,suè,suè,sèr,sè,sèr;sè,suè
348,[方]223,說,serh,serh,seh,sueh,sueh,sueh,serh,seh,serh;seh,sueh
349,[方]263,炱,ter,ter,te,te,te,te,ter,te,ter;te,te
350,[方]397,底,tué,teré,tué,té,té,té,tué,tué,tué,té
351,[方]264,短,tér,tér,té,té,té,té,tér,té,tér;té,té
352,[方]265,戴(姓),tèr,tèr,tè,tè,tè,tè,tèr,tè,tèr;tè,tè
353,[方]266,塊,tèr,tèr,tè,tè,tè,tè,tèr,tè,tèr;tè,tè
355,[方]398,題,tuê,terê,tuê,tê,tê,tê,tuê,tuê,tuê,tê
356,[方]399,蹄,tuê,terê,tuê,tê,tê,tê,tuê,tuê,tuê,tê
357,[方]400,苧,tuē,terē,tuē,tē,tē,tē,tuē,tuē,tuē,tē
358,[方]401,地,tuě; tuē,terē,tuē,tē,tē,tē,tuē,tuē,tuē,tuē
359,[方]269,袋,těr,tēr,tē,tē,tē,tē,tēr,tē,tēr;tē,tē
360,[方]283,蹬,tinn,tinn,tinn,tenn,tenn,tenn,tinn,tinn,tinn,tenn
361,[方]284,瞪,tìnn,tìnn,tìnn,tènn,tènn,tènn,tìnn,tìnn,tìnn,tènn
362,[方]285,鄭,tīnn,tīnn,tīnn,tēnn,tēnn,tēnn,tīnn,tīnn,tīnn,tēnn
363,[方]286,捏,tīnn,tīnn,tīnn,tēnn,tēnn,tēnn,tīnn,tīnn,tīnn,tēnn
364,[方]392,豬,tir,tir,tu,ti,ti,ti,tir,tu,tir;ti,ti
365,[方]016,枇(～杷),khî,khî,gî,gî,tî,tî,khî,pî,khî,gî
366,[方]393,除,tîr,tîr,tû,tî,tî,tî,tîr,tû,tîr;tû,tî
367,[方]394,鋤,tîr,tîr,tû,tî,tî,tî,tîr,tû,tîr;tî,tî
368,[方]395,箸,tǐr,tīr,tū,tī,tī,tī,tīr,tū,tīr;tī,tī
369,[方]396,佇(在),tǐr,tīr,tū,tī,tī,tī,tī,tū,tī,tī
370,[方]281,釘,tan,ting,ting,ting,ting,ting,tan,tan,ting,ting
371,[方]282,𠕇,tǐng,tīng,tīng,tīng,tīng,tīng,tīng,tān;tīng,tīng,tīng
372,[方]287,中,tiong,tiong,tiong,ting,tiong,tiong,tiong,tiong,tiong,tiong
373,[方]288,張,tiunn,tiunn,tiunn,tiunn,tionn,tiunn,tiunn,tiunn,tiunn,tiunn
374,[方]289,長,tiúnn,tiúnn,tiúnn,tiúnn,tiónn,tiúnn,tiúnn,tiúnn,tiúnn,tiúnn
375,[方]290,帳,tiùnn,tiùnn,tiùnn,tiùnn,tiònn,tiùnn,tiùnn,tiùnn,tiùnn,tiùnn
376,[方]291,脹,tiùnn,tiùnn,tiùnn,tiùnn,tiònn,tiùnn,tiùnn,tiùnn,tiùnn,tiùnn
377,[方]292,漲,tiùnn,tiùnn,tiùnn,tiùnn,tiònn,tiùnn,tiùnn,tiùnn,tiùnn,tiùnn
378,[方]293,場,tiûnn,tiûnn,tiûnn,tiûnn,tiônn,tiûnn,tiûnn,tiûnn,tiûnn,tiûnn
379,[方]294,丈,tiǔnn,tiūnn,tiūnn,tiūnn,tiōnn,tiūnn,tiūnn,tiūnn,tiūnn,tiūnn
380,[方]295,轉,tńg,tńg,tńg,tuínn,tńg,tńg,tńg,tńg,tńg,tńg
381,[方]296,頓(一～),tǹg,tǹg,tǹg,tuìnn,tǹg,tǹg,tǹg,tǹg,tǹg,tǹg
382,[方]297,斷,tňg,tn̄g,tn̄g,tuīnn,tn̄g,tn̄g,tn̄g,tn̄g,tn̄g,tn̄g
383,[方]270,啄(～蛀),terh,x,teh,teh,tok,tok,terh,teh,tok,tok
384,[方]305,肚,tǒo,tōo,tōo,tōo,tōo,tōo,tōo,tōo,tōo,tōo
385,[方]306,度,tǒo,tōo,tōo,tōo,tōo,tōo,tōo,tōo,tōo,tōo
386,[方]298,刀(～仔),to,to,to,to,tor,tor,to,to,to,to
387,[方]299,倒(跋～),tó,tó,tó,tó,tór,tór,tó,tó,tó,tó
388,[方]304,島,tóo,tóo,tóo,tó,tór,tór,tó,tóo,tóo,tó
389,[方]300,倒(～掉),tò,tò,tò,tò,tòr,tòr,tò,tò,tò,tò
390,[方]301,萄(葡～),tô,tô,tô,tô,tôr,tôr,tô,tô,tô,tô
391,[方]302,桌,toh,toh,toh,toh,torh,torh,toh,toh,toh,toh
392,[方]303,著,to̍h,to̍h,to̍h,to̍h,to̍rh,to̍rh,to̍h,to̍h,to̍h,to̍h
393,[方]268,綴,tèr,tèr,tè,tuè,tuè,tuè,tèr,tè,tèr;tè,tuè
394,[方]310,蠶,tshâm,tshâm,tshâm,tshâm,thâm,thâm,tshâm,tshâm,tshâm,tshâm
395,[方]271,推,ther,ther,the,the,the,the,ther,the,ther;the,the
396,[方]280,替,thuè,therè,thuè,thè,thè,thè,thuè,thuè,thuè,thè;thuè
397,[方]272,退,thèr,thèr,thè,thè,thè,thè,thèr,thè,thèr;thuè,thè;thuè
398,[方]273,頭,thiô,thiô,thiô,thôo,thiôr,thiôr,thôo,thôo,thiô,x
399,[方]274,褪(脫),thǹg,thǹg,thǹg,thuìnn,thǹg,thǹg,thǹg,thǹg,thǹg,thǹg
400,[方]275,傳,thn̂g,thn̂g,thn̂g,thuînn,thn̂g,thn̂g,tuân,x,thn̂g,thn̂g
401,[方]276,熥(再熱),thňg,thn̄g,thn̄g,thuīnn,thn̄g,thn̄g,thn̄g,thn̄g,thn̄g,thn̄g
402,[方]277,討,thó,thó,thó,thó,thór,thór,thó,thó,thó,thó
403,[方]278,桃(～仔),thô,thô,thô,thô,thôr,thôr,thô,thô,thô,thô
404,[方]279,迌(迌～),thô,thô,thô,thô,thôr,thôr,thô,thô,thô,thô
405,[方]402,寓,ú,ú; ù,ú,ú,ú,ú,ú,gū,ú,ú
406,[方]014,鍋,er,er,e,ue,ue,ue,er,e,er;e,ue
407,[方]410,畫,uě,uī,uī,uē,uē,uē,uī,uī,uī,uē
408,[方]411,劃,ue̍h,ui̍h,ui̍h,ue̍h,ue̍h,ue̍h,ui̍h,ui̍h,ui̍h,ue̍h
409,[方]412,恩,un,irn,un,in,un; in,un,un,un,un,un
410,[方]262,刐,x,x,táinn,x,x,x,táinn,tán,x,x
411,[方]391,截(刀切),tsue̍h,tsere̍h,tsue̍h,x,x,x,tsue̍h,tsue̍h,tsue̍h,x
412,[方]326,樹(～梅),tshiū,tshiū,tshiū,x,x,x,tshiū,tshiūnn,x,x
413,[方]413,著,tio̍h,tio̍h,tio̍h,tio̍h,tio̍rh,tio̍rh,tio̍h,tio̍h,tio̍h,tio̍h
415,[方]415,吠,puǐ,puī,puī,puī,puī,puī,puī,puī,puī,puī
416,[方]416,阮,gún,gún,gún,gúan,guán(男);gún(女),guán,guán,guán,gún,gún
417,[方]417,拌,puǎnn,puānn,puānn,puānn,puānn,puānn,puānn,puānn,puānn,puānn
418,[方]418,迒,hâ,hānn,hānn,hānn,hānn,hānn,hānn,hānn,hānn,hānn
419,[方]419,厚,kǎu,kāu,kāu,kāu,kāu,kāu,kāu,kāu,kāu,kāu
420,[方]420,耎,luán,juán,luán,luán,juán,luán,luán,juán,luán,luán
421,[方]421,捋,lua̍h,lua̍h,lua̍h,lua̍h,lua̍h,lua̍h,lua̍h,lua̍h,lua̍h,lua̍h
422,[方]422,䖙,the,the,the,thenn; the,the,the,the,the,the,thenn
423,[方]423,八,pueh,pueh,pueh,peh,peh,peh,pueh,pueh,pueh,peh
424,[方]424,予,hǒo,hōo,hōo,hōo,hōo,hōo,hōo,hōo,hōo,hōo
