序號,方言差編碼,字目,鹿港,三峽,臺北,宜蘭,臺南,高雄,金門,馬公,新竹,臺中
36,[方]372,上,tsiǔnn,tsiūnn,tsiūnn,tsiūnn,tsiōnn,tsiūnn,tsiūnn,tsiūnn,tsiūnn,tsiūnn
37,[方]373,磚,tsng,tsng,tsng,tsuinn,tsng,tsng,tsng,tsng,tsng,tsng
38,[方]374,鑽,tsǹg,tsǹg,tsǹg,tsuìnn,tsǹg,tsǹg,tsǹg,tsǹg,tsǹg,tsǹg
39,[方]375,全,tsn̂g,tsn̂g,tsn̂g,tsuînn,tsn̂g,tsn̂g,tsn̂g,tsn̂g,tsn̂g,tsn̂g
40,[方]376,旋(髮～),tsňg,tsn̄g,tsn̄g,tsuīnn,tsn̄g,tsn̄g,tsn̄g,tsn̄g,tsn̄g,tsn̄g
41,[方]377,吮(舐),tsňg,tsn̄g,tsn̄g,tsuīnn,tsn̄g,tsn̄g,tsn̄g,tsn̄g,tsn̄g,x
42,[方]378,棗,tsó,tsó,tsó,tsó,tsór,tsór,tsó,tsó,tsó,tsó
43,[方]387,做,tsuè,tserè,tsuè,tsò,tsòr,tsòr,tsuè,tsuè,tsuè,tsò
44,[方]379,曹,tsô,tsô,tsô,tsô,tsôr,tsôr,tsô,tsô,tsô,tsô
45,[方]380,槽,tsô,tsô,tsô,tsô,tsôr,tsôr,tsô,tsô,tsô,tsô
46,[方]381,子,tsír,tsír,tsú,tsú,tsú,tsú,tsír,tsú,tsú,tsú
48,[方]382,煮,tsír,tsír,tsú,tsí,tsú,tsú,tsír,tsú,tsú,tsú
49,[方]385,自,tsǐr,tsīr,tsū,tsū,tsū,tsū,tsīr,tsū,tsīr,tsū
50,[方]351,初,tshue,tshere,tshue,tshe,tshe,tshe,tshue,tshue,tshue,tshe
51,[方]352,脆,tshèr,tshèr,tshè,tshè,tshè,tshè,tshèr,tshè,tshèr;tshè,tshè
52,[方]353,慼(厭恨),tshueh,tshereh,tshueh,tsheh,tsheh,tsheh,tshueh,tshueh,tshueh,tsheh
53,[方]319,青,tshinn,tshinn,tshinn,tshenn,tshenn,tshenn,tshinn,tshinn,tshinn,tshenn
54,[方]320,星,tshinn,tshinn,tshinn,tshenn,tshenn,tshenn,tshinn,tshinn,tshinn,tshenn
55,[方]321,生,tshinn,tshinn,tshinn,tshenn,tshenn,tshenn,tshinn,tshinn,tshinn,tshenn
56,[方]322,親,tshinn,tshinn,tshinn,tshenn,tshenn,tshenn,tshinn,tshinn,tshinn,tshenn
57,[方]324,醒,tshínn,tshínn,tshínn,tshénn,tshénn,tshénn,tshínn,tshínn,tshínn,tshénn
58,[方]348,鼠,tshír,tshír,tshú,tshí,tshú,tshí,tshír,tshú,tshír;tshí,tshí
59,[方]316,徐,sîr,sîr,tshî,tshî,tshî,tshî,sîr,tshî,tshî,tshî
60,[方]346,蛆(水～),tshir,tshir,tshu,tshi,tshu,tshi,tshir,tshu,tshir,tshi
61,[方]317,撨,tshâu,tshâu,tshiâu,tshiâu,tshiâu,tshiâu,tshâu,tshâu,tshâu,tshiâu
