華語,詞條編號,詞條名稱
合力,2140,合力
合口,2229,合喙
合口味,7786,紲喙
合唱,2217,合唱
合夥,2199,合股
合夥,6894,鬥夥計
合奏,2202,合奏
合成,50970,合成
合掌,2233,合掌
合攏,2208,合倚
合時,9035,著時
合格,2214,合格
合格,1034,及格
合法,2197,合法
合理,2223,合理
合用,2164,合用
合算,2248,合算
合約,2206,合約
合股,2199,合股
合股,6859,鬥股
合胃口,3577,佮喙
合計,2248,合算
合計,51949,合計
合資,54054,合資
合身,2271,合軀
合辦,2262,合辦
吉,2123,吉
吉,41044,吉
吉他,31032,gi51 ta11
吉兆,2167,吉兆
吉凶,2145,吉凶
吉安,34157,吉安
吉安鄉,35335,吉安鄉
吉日,2146,吉日
吉日,265,大日
吉普車,2234,吉普
吉祥,2225,吉祥
吉祥話,2400,好話
吉魯巴,31052,ji33 lu55 bah3
吊,2124,吊
吊上去,11862,縋
吊橋,2260,吊橋
吊死,2174,吊死
吊牌,7408,掛牌
吊猴,2235,吊猴
吊籃,2275,吊籃
吊車,2185,吊車
吊點滴,2144,吊大筒
同,1315,仝
同,2110,共
同,2125,同
同一人,13625,𫝛人
同事,2189,同事
同仁,51280,同仁
同伴,52379,同伴
同僚,2189,同事
同僚,52978,同僚
同姓,7126,堂的
同姓,11944,親人
同學,2258,同學
同學,2236,同窗
同宗,7126,堂的
同宗,11944,親人
同宗,11966,親堂
同居,2194,同居
同年,13627,𫝛年
同年,2170,同年
同心,2147,同心
同志,2181,同志
同性,54049,同性
同情,11122,憐憫
同情,2219,同情
同意,4437,肯
同意,2240,同意
同感,2241,同感
同時,13628,𫝛時
同時,2254,同齊
同時,2212,同時
同時進行,24,一面
同業,13629,𫝛途
同業,51498,同業
同樂,53494,同樂
同樣,1370,仝款
同樣是,1700,平平
同窗,2258,同學
同胞,2207,同胞
同行,13629,𫝛途
同行,51789,同行
同輩,13626,𫝛勻
名,2126,名
名,2127,名
名冊,2274,名簿
名冊,2151,名冊
名利,2180,名利
名刺,2149,名片
名勝,52980,名勝
名單,2231,名單
名堂,4427,空頭
名堂多,4813,厚屎尿
名字,2171,名字
名望,2220,名望
名望,2268,名聲
名望,12356,聲望
名次,54051,名次
名片,2149,名片
名片,31100,me51 si11
名牌,7408,掛牌
名牌,51370,名牌
名產,2224,名產
名稱,50658,名稱
名簿,2274,名簿
名籍,2274,名簿
名義,51790,名義
名聲,2268,名聲
名落孫山,9972,落第
名號,53495,名號
名詞,51281,名詞
名譽,2220,名望
名譽,2268,名聲
名譽,54053,名譽
名醫,52981,名醫
名額,2272,名額
后里,34029,后里
后里鄉,35123,后里鄉
吐,10415,嘔
吐,3704,呸
吐,2128,吐
吐,2129,吐
吐口水,3765,呸瀾
吐司,31140,siok3 phang51
吐大氣,2143,吐大氣
吐痰,4825,咯痰
吐痰,3753,呸痰
吐痰聲,4791,咯
吐穗,2267,吐穗
吐絲,9867,經絲
吐舌,2176,吐舌
吐苦水,2255,吐憐涎
吐血,10425,嘔紅
吐血,10422,嘔血
吐血,4802,咯血
吐血,3725,呸血
吐血,2177,吐血
吐血聲,4791,咯
向,2131,向
向,2132,向
向,2110,共
向,2133,向
向來,1913,由來
向來,7269,從到今
向前,2201,向前
向善,2230,向善
向天湖山,32023,向天湖山
向後倒下,5755,倒向
向日葵,1181,日頭花
君,2968,君
君子,2986,君子
君王,2990,君王
吝嗇,8673,無量
吝嗇,1296,牛螕
吝嗇,13087,鹹
吝嗇,13134,攝屎
吝嗇,12237,澀
吝嗇,5801,凍霜
吞,6171,欱
吞,2969,吞
吞下去,9977,落喉
吞霄,40089,吞霄
吟,2970,吟
吟唱,53017,吟唱
吟詩,54751,吟詩
吠,2971,吠
否定,52668,否定
否決,53518,否決
否認,50690,否認
吧台,53519,吧台
吧哩嘓,40088,吧哩嘓
吧臺,53519,吧台
吩咐,2067,交代
吩咐,1413,叮
含,2972,含
含冤,3005,含冤
含意,54091,含意
含水多,10639,漖
含沙射影,3593,供體
含笑,54750,含笑
含羞草,3465,見笑草
含量,51288,含量
吭,2974,吭
吭,2975,吭
吮,2976,吮
吱,2977,吱
吳,41059,吳
吳真人,4727,保生大帝
吳真人,499,大道公
吳郭魚,54089,吳郭魚
吵,13223,囉
吵,2978,吵
吵架,8391,掰手面
吵架,5318,相觸
吵架,5767,冤家量債
吵雜,11599,鬧
吵鬧,2978,吵
吵鬧,3007,吵家抐計
吵鬧,3006,吵家抐宅
吵鬧,3023,吵鬧
吵鬧攪亂,2997,吵抐
吸,2980,吸
吸,13121,攝
吸,11011,噗
吸,7494,欶
吸奶,7504,欶奶
吸引,6697,迷
吸引,50084,吸引
吸收,50382,吸收
吸收水分,2503,收泔
吸收水分,12248,燥水
吸水,7499,欶水
吸煙,5705,食薰
吸管,7527,欶管
吸鐵石,2993,吸石
吹,9323,剾
吹,11771,歕
吹,12779,颺
吹,2981,吹
吹乾,3186,弄風
吹口哨,3762,呼觱仔
吹口哨,3759,呼噓仔
吹哨子,11799,歕觱仔
吹噓,12407,講大聲話
吹噓,4095,放臭屁
吹捧,4795,品
吹毛求疵,939,歹扭搦
吹氣,11787,歕風
吹氣球,11801,歕雞胿仔
吹熄,11778,歕火
吹牛,10436,嘐潲
吹牛,10437,嘐潲話
吹牛,12436,講嘐潲話
吹牛,12407,講大聲話
吹牛,4095,放臭屁
吹牛,11902,膨風
吹牛,11800,歕雞胿
吹牛,6629,臭彈
吹牛,10118,畫虎𡳞
吹牛大王,6585,臭屁仙
吹牛皮,11800,歕雞胿
吹風,9352,剾風
吹風,3186,弄風
吹風,9550,搧風
吹風,12787,颺風
吹風,3003,吹風
吹風機,3004,吹風機
吻合,7725,符合
吼,2982,吼
呂,41060,呂
呂洞賓,3048,呂洞賓
呆,7253,悾
呆,3922,怐怐
呆,3028,呆
呆傻,13465,戇戇
呆傻,9662,歁
呆傻,7291,悾歁
呆呆的,9697,歁歁
呆子,13449,戇人
呆帳,5788,倒數
呆板,1493,古板
呆板,6163,柴頭
呆滯,13465,戇戇
呆滯,13458,戇神
呆滯的,6142,柴柴
呆瓜,4553,阿西
呆賬,766,冇數
呆頭呆腦,13463,戇頭戇面
呆頭呆腦,5962,崁頭崁面
呆頭呆腦的,7282,悾悾
呈報,52397,呈報
呈現,50089,呈現
告,3029,告
告假,11476,請假
告別,53016,告別
告密,7176,密告
告密者,8296,報馬仔
告狀,1859,申
告狀,3220,投
告發,3054,告訴
告白,53015,告白
告知,7963,通知
告知,50691,告知
告示,3043,告示
告訴,3054,告訴
告訴,7963,通知
告誡,13053,警告
告辭,3552,來去
告辭,5315,相辭
告辭,54090,告辭
呢,4786,咧
呢,5813,哩
呢,3702,呢
周,41076,周
周全,9926,萬全
周全,3746,周密
周全,3724,周至
周全,3723,周全
周刊,53555,周刊
周到,7107,夠工
周到,3726,周到
周到,3724,周至
周圍,1602,四箍輾轉
周圍,3749,周圍
周密,3746,周密
周密,3723,周全
周年忌日,10490,對年
周詳,54115,周詳
周轉,12674,轉踅
周轉,52410,周轉
周遭,1602,四箍輾轉
周邊,1637,四邊
周邊,50825,周邊
呱呱叫,4739,削削叫
呱譟,1301,火雞母
味噌,3524,豆醬
味噌,31102,mi55 sooh3
味噌湯,3525,豆醬湯
味精,3741,味素
味精,3742,味素粉
味素,3741,味素
味素,3742,味素粉
味覺,54114,味覺
味道,3703,味
味道,6193,氣味
味道,13093,鹹汫
味道,8630,滋味
味道不合,3180,扴味
味道不好,13554,䆀味
味道很鹹,13112,鹹篤篤
呵癢,12527,擽呧
呸,3704,呸
呻,3705,呻
呻吟,5820,哼
呻吟聲,5853,哼哼叫
呼,3706,呼
呼,3707,呼
呼叫,51808,呼叫
呼吸,8236,喘氣
呼吸急促,275,大心氣
呼喊,1412,叫
呼天搶地,4809,哀爸叫母
呼天搶地,5848,哭爸哭母
呼應,53039,呼應
呼籲,3767,呼籲
呼聲,52686,呼聲
呼雞聲,8195,喌
命,3708,命
命,3709,命
命令,3719,命令
命名,10010,號名
命好而坐享清福,5616,食命
命數,10248,運途
命案,3739,命案
命理,52687,命理
命運,6234,氣數
命運,6230,氣運
命運,3756,命運
命運,10221,運命
命運,10248,運途
命運坎坷,968,歹命人
命題,3764,命題
咀嚼,1404,卯
咀嚼,5819,哺
咂舌,13052,觸舌
和,3712,和
和,3713,和
和,3538,佮
和,2110,共
和,3539,佮
和,2050,交
和,7035,參
和仁,34151,和仁
和善,3740,和氣
和善,753,仁慈
和好,54754,和好
和尚,3730,和尚
和尚洲,40099,和尚洲
和平,3721,和平
和平,34150,和平
和平溪,38067,和平溪
和平鄉,35137,和平鄉
和氣,3754,和睦
和氣,3740,和氣
和睦,3754,和睦
和解,3755,和解
和諧,50921,和諧
和順,3752,和順
咒,3714,咒
咒人去死,10233,路旁屍
咒罵,9056,詈
咒罵,3766,咒讖
咕,4790,咯
咕咕叫,4062,拍咯雞
咖哩,3737,咖哩
咖啡,3743,咖啡
咖啡色,3744,咖啡色
咖啡色,9401,塗色
咚,1306,丼
咦,7495,欸
咩,4788,咩
咬,4789,咬
咬,1408,叨
咬舌兒,6575,臭奶呆
咬舌頭,4821,咬喙
咯,4791,咯
咯,4790,咯
咳,10411,嗽
咳嗽,8740,痚呴嗽
咳嗽,4828,咳嗽
咳嗽,3729,呿呿嗽
咳嗽,10411,嗽
咳痰,8255,喀痰
咽喉,12801,嚨喉
咽喉,12802,嚨喉空
咾咕石,13476,硓𥑮石
哀,4794,哀
哀,8192,喈
哀傷,8359,悲傷
哀傷,53590,哀傷
哀怨,4814,哀怨
哀杖,3638,兔仔尾
哀求,4805,哀求
哀痛,8353,悲哀
品味,10982,鼻芳
品性,136,人格
品格,136,人格
品格,4803,品行
品牌,50109,品牌
品種,52444,品種
品管,54174,品管
品質,4829,品質
哄,3143,弄
哄,5825,唔
哄人,7048,唬人
哄小孩,12964,騙囡仔
哄小孩睡覺,5825,唔
哄睡,5854,唔唔睏
哄騙,9528,搧大耳
哆囉滿,40127,哆囉滿
哈,4796,哈
哈哈笑,6463,笑咍咍
哈啾,4822,哈啾
哈馬星,40126,哈馬星
哎,4797,哎
哎,11638,噯
哎喲,4824,哎喲喂
員,5811,員
員外,54763,員外
員山鄉,35063,員山鄉
員工,50071,員工
員林,34038,員林
員林鎮,35148,員林鎮
員警,50780,員警
哥,5812,哥
哥哥,4536,阿兄
哥哥,1321,兄
哥哥,1358,兄哥
哥哥,5852,哥哥
哦,11937,諾
哨子,11948,觱仔
哩,5813,哩
哩,5814,哩
哪,5014,曷
哪,5815,哪
哪,2875,佗
哪一個,2888,佗一个
哪吒,272,三太子
哪有,8460,敢有
哪裡,2907,佗位
哪裡,2876,佗
哭,2982,吼
哭,5816,哭
哭哭啼啼,8247,啼啼哭哭
哭喪杖,3638,兔仔尾
哭訴,5816,哭
哭訴,5845,哭呻
哭調,5867,哭調仔
哭路頭,5865,哭路頭
哮喘,8716,痚
哮喘,8739,痚呴
哮喘,429,大氣喘
哲學,51134,哲學
哲理,52736,哲理
哺乳,10335,飼奶
哼,5821,哼
哽,5822,哽
哽到,5862,哽著
哽咽,8253,喉滇
唆使,4034,拐弄
唆使,10660,煽動
唆使,10413,呲
唉,5824,唉
唏哩呼嚕,11881,窸窣叫
唐,41125,唐
唐山,5827,唐山
唐詩,53629,唐詩
唬,7037,唬
唬人,7048,唬人
唬人,12968,騙鬼
唭哩岸,36020,唭哩岸
唭哩岸,40162,唭哩岸
售價,50251,售價
唯一,7046,唯一
唱,7038,唱
唱,7039,唱
唱出,53146,唱出
唱對台戲,12743,雙棚鬥
唱對臺戲,12743,雙棚鬥
唱歌,52488,唱歌
唱法,54331,唱法
唱片,2572,曲盤
唱片,50312,唱片
唱盤,54332,唱盤
唷,5874,唷
唸,7040,唸
唾液,13003,瀾
唾液,8268,喙瀾
啃,12509,嚙
啃,13221,齧
啄,1408,叨
啄,6010,捅
啄,7041,啄
商,41153,商
商人,1956,生理人
商務,54329,商務
商品,7065,商品
商圈,52212,商圈
商埠,7151,埠頭
商場,1957,生理場
商場,7076,商場
商家,52211,商家
商展,7067,商展
商店,7063,商店
商店,3883,店頭
商業,7081,商業
商業界,1957,生理場
商標,8601,牌子
商標,11214,標頭
商標,7085,商標
商用,52772,商用
商船,7075,商船
商行,7059,商行
商討,11132,撨
商議,7430,推撨
商量,5346,研究
商量,7079,商量
商量,7082,參詳
商量,9558,斟酌
商隊,54330,商隊
啊,7043,啊
啊,5823,唅
問,7044,問
問候,31006,ai35 sat5 tsuh3
問卷,51221,問卷
問政,52489,問政
問答,53675,問答
問話,54333,問話
問題,2668,百百空
問題,50005,問題
啐,10416,嘖
啜,13491,𠯗
啞巴,7051,啞口
啟事,52026,啟事
啟明,51150,啟明
啟發,7078,啟發
啟發,7058,啟示
啟程,6730,起行
啟程,6771,起程
啟迪,7078,啟發
啟齒,9182,開口
啤酒,8124,麥仔酒
啤酒,31022,bi51 lu11
啥,7092,啥
啦,7093,啦
啪,8379,擗
啼,8186,啼
啼哭,8234,啼哭
啼啼哭哭,8247,啼啼哭哭
喀,8187,喀
喂,8188,喂
喂,8189,喂
喃,8190,喃
善,5385,美
善,8191,善
善化,34059,善化
善化鎮,35238,善化鎮
善導寺,36054,善導寺
善後,4938,拭尻川
善心,2307,好心
善心,52511,善心
善惡,52807,善惡
善意,2390,好意
善意,52512,善意
善於變通,12684,軁鑽
善男信女,8220,善男信女
善良,753,仁慈
善良,8221,善良
喇叭,8214,喇叭
喇叭花,10395,鼓吹花
喉嚨,12801,嚨喉
喉管,12802,嚨喉空
喉韻,8267,喉韻
喊,8193,喊
喊,4793,咻
喊,8200,喝
喊叫,8231,喝咻
喊叫聲,4811,咻咻叫
喊魚,8245,喝魚仔
喋,8194,喋
喋喋不休,10928,踅踅唸
喔,8197,喔
喔,12649,謼
喘,8198,喘
喘不過氣,275,大心氣
喘口氣,9692,歇喘
喘噓噓,3923,怦怦喘
喘息,9692,歇喘
喜劇,8259,喜劇
喜宴,53718,喜宴
喜帖,5417,紅帖仔
喜帖,8223,喜帖
喜新厭舊,4639,迎新棄舊
喜歡,9456,愛
喜歡,9489,意愛
喜歡喝酒,11908,興酒
喜氣,54419,喜氣
喜酒,8239,喜酒
喜餅,515,大餅
喜鵲,4895,客鳥
喝,4796,哈
喝,9250,飲
喝,7042,啉
喝,5588,食
喝喜酒,5636,食桌
喝水,7054,啉水
喝湯,7077,啉湯
喝茶,7070,啉茶
喝酒,7042,啉
喝酒,7071,啉酒
喧嘩,11031,嘻嘻嘩嘩
喧嘩,3023,吵鬧
喧騰,3315,沖沖滾
喪事,8288,喪事
喪失,8283,喪失
喪服,3111,孝衫
喪服,8139,麻衫
喪生,53719,喪生
喪葬工,251,土公仔
喬,41191,喬
單,8272,單
單一,50718,單一
單一人手,8301,單跤手
單位,8285,單位
單元,8280,單元
單字,53720,單字
單打,52795,單打
單挑,6851,釘孤枝
單數,3818,奇數
單方面,24,一面
單獨,8304,單獨
單程,8297,單逝
單簧管,6302,烏笛仔
單純,6540,純然
單純,8294,單純
單腳跳,12438,蹌箍螺
單薄,12263,癉
單調,52508,單調
單身,8643,無某無猴
單身,11821,獨身
單身,8287,單身
單身漢,12863,羅漢跤仔
單身漢,66,十一哥
單身男子,12863,羅漢跤仔
嗅覺靈敏,2411,好鼻獅
嗅覺靈敏,4652,虎鼻師
嗆,12382,薟
嗆到,9031,著咳嗾
嗆到,10412,嗾
嗆到,10432,嗾著
嗆舌頭,4821,咬喙
嗆著,10432,嗾著
嗉囊,6550,胿
嗉道,6550,胿
嗓音,12368,聲說
嗚呼,9408,嗚呼
嗜好,11894,興
嗝,3027,呃
嗡,9379,嗚
嗩吶,11648,噯仔
嗩吶,10393,鼓吹
嘆,10414,嘆
嘆息,2143,吐大氣
嘆氣,2215,吐氣
嘉惠,53247,嘉惠
嘉獎,10438,嘉獎
嘉義,34227,嘉義
嘉義,34050,嘉義
嘉義市,35372,嘉義市
嘉義縣,35200,嘉義縣
嘉賓,9117,貴賓
嘉賓,54538,嘉賓
嘉鱲,10440,嘉鱲
嘍囉,10099,跤仔
嘔吐,10415,嘔
嘔吐,7372,掠兔仔
嘔心瀝血,10421,嘔心血
嘔氣,11789,激氣
嘔血,10425,嘔紅
嘔血,10422,嘔血
嘖,3711,咂
嘛,10418,嘛
嘟嘴,11721,懊嘟嘟
嘮叨,12737,雜唸
嘮叼,10928,踅踅唸
嘮嘮叨叨,10067,詬詬唸
嘲笑,10083,詼
嘲笑,5990,恥笑
嘴,8199,喙
嘴唇凹陷,1556,卯喙
嘴巴,8228,喙空
嘴巴,8257,喙箍
嘴巴四周,8257,喙箍
嘴巴歪,5170,歪喙
嘴巴甜,2379,好喙
嘴快者,8296,報馬仔
嘴皮子,8229,喙花
嘴皮子,8242,喙脣皮
嘴脣,8241,喙脣
嘴臭,8238,喙臭
嘴角,8222,喙角
嘴饞,5127,枵鬼
嘴饞,5134,枵饞
嘻嘻哈哈,11031,嘻嘻嘩嘩
嘿,11009,嘿
噎,5822,哽
噎到,5862,哽著
噓,11010,噓
噓尿,11024,噓尿
器,11627,器
器具,11631,器具
器官,11632,器官
器材,50475,器材
器重,11633,器重
噪音,51446,噪音
噴,12938,霧
噴,6174,浡
噴,11014,噴
噴,10643,漩
噴,11219,澍
噴,12543,濺
噴出,13623,霧水
噴墨,54581,噴墨
噴射,54580,噴射
噴射機,11026,噴射機
噴水,12547,濺水
噴水池,11020,噴水池
噴漆,11030,噴漆
噶瑪蘭,40228,噶瑪蘭
嚇,12158,嚇
嚇,12159,嚇
嚇,12167,嚇驚
嚇到,9025,著生驚
嚇死,13325,驚死
嚇死人,13327,驚死人
嚎啕大哭,10434,嘛嘛吼
嚐,7045,啖
嚐鮮,10982,鼻芳
嚓,12160,嚓
嚴,12982,嚴
嚴,41283,嚴
嚴密,52587,嚴密
嚴寒,449,大寒
嚴峻,54697,嚴峻
嚴格,12989,嚴格
嚴肅,12992,嚴肅
嚴肅,4864,威嚴
嚴謹,51598,嚴謹
嚴重,12988,嚴重
嚴重,10999,厲害
嚴重,3944,忝頭
嚴重,5592,食力
嚴重程度,2513,有要緊
嚷,12983,嚷
嚼,5819,哺
嚼勁,13587,𩚨嗲嗲
囂張,13137,囂俳
囂張,12380,聳鬚
囉,13224,囉
囉哩囉嗦,13242,囉嗦
囉嗦,13242,囉嗦
囉嗦,3325,沙屑
囉囉嗦嗦,10067,詬詬唸
囍餅,11871,糕仔餅
囑咐,2999,吩咐
囑咐,2067,交代
囚,1417,囚
囚犯,10699,監囚
囚犯,54019,囚犯
囚禁,10709,監禁
四,1418,四
四,1419,四
四句聯,1465,四句聯
四周,1602,四箍輾轉
四周,1601,四箍圍仔
四周圍,1454,四爿
四季,1491,四季
四季豆,7370,敏豆
四散,1562,四散
四方,1448,四方
四方端正,1467,四正
四時花,5022,春仔花
四海,1527,四海
四神湯,1531,四神湯
四肢,1499,四肢
四腳亭,34120,四腳亭
四腳朝天,3021,吭跤翹
四腳朝天,5799,倒頭栽
四腳蛇,1589,四跤杜定
四腳蛇,3248,杜定
四處,1448,四方
四處,1527,四海
四處亂跑,4053,拋拋走
四通八達,1551,四通八達
四重溪,38052,四重溪
四面,1513,四面
回,2135,回
回,10180,遍
回,7927,逝
回,9071,越
回來,12665,轉來
回信,2270,回覆
回信,2182,回批
回升,50769,回升
回去,12660,轉去
回去,5750,倒去
回去,5804,倒轉
回嘴,12202,應喙應舌
回國,52982,回國
回報,53496,回報
回娘家,12667,轉後頭
回娘家,12661,轉外家
回心轉意,2148,回心轉意
回想,51952,回想
回憶,50821,回憶
回應,2237,回答
回應,12215,應聲
回應,50536,回應
回扣,31075,khoo33 mi55 siong51
回收,51119,回收
回教,54056,回教
回歸,51371,回歸
回流,52381,回流
回程,52983,回程
回答,2237,回答
回答,12215,應聲
回答,10511,對答
回聲,12215,應聲
回覆,2270,回覆
回話,2237,回答
回郵,51951,回郵
回門,6987,做客
回音,12215,應聲
回響,52382,回響
回頭,12616,翻頭
回頭,2265,回頭
回頭,9124,越頭
回顧,51120,回顧
回饋,50582,回饋
囟,2136,囟
因,2137,因
因乾枯而捲起,11359,蔫
因應,50447,因應
因時制宜,12057,隨機應變
因果,2196,因果
因此,8331,就按呢
因此,50003,因此
因為,2205,因為
因為,5194,為
因由,11324,緣故
因由,2249,因端
因素,50072,因素
因緣,54055,因緣
囤,3030,囤
囮,3033,囮
困倦,6383,疲勞
困境,50918,困境
困擾,50554,困擾
困苦,3049,困苦
困難,3061,困難
困難,8835,硬篤
困難,10408,僫
固執,3745,固執
固執的,13195,鐵齒銅牙槽
固定,3731,固定
固定售價,2574,死豬仔價
固然,12476,雖然
固然,50922,固然
圈,7595,圈
圈,6111,框
圈,10716,箍
圈套,7132,圈套
國,7095,國
國,41154,國
國一,3626,初一
國中,7108,國中
國內,7109,國內
國內外,52213,國內外
國土,53147,國土
國外,50228,國外
國姓埔,40163,國姓埔
國姓鄉,35175,國姓鄉
國宅,52773,國宅
國安局,52018,國安局
國安會,54338,國安會
國家,50028,國家
國寶,7155,國寶
國小,50991,國小
國度,53676,國度
國庫,52490,國庫
國情,54339,國情
國慶鳥,4761,南路鷹
國慶鳥,392,山後鳥
國手,54334,國手
國文,54335,國文
國旗,53149,國旗
國曆,9579,新曆
國會,50564,國會
國有,53148,國有
國歌,7146,國歌
國民,93,人民
國民,50450,國民
國法,7123,國法
國營,53677,國營
國父,54336,國父
國父史蹟紀念館,33031,國父史蹟紀念館
國父紀念館,36050,國父紀念館
國片,54337,國片
國王,50486,國王
國產,50743,國產
國產車,51144,國產車
國界,51408,國界
國科會,52774,國科會
國稅局,51858,國稅局
國立,7115,國立
國立台灣博物館,33033,國立臺灣博物館
國立台灣科學教育院,33032,國立臺灣科學教育院
國立台灣藝術教育館,33034,國立臺灣藝術教育館
國立臺灣博物館,33033,國立臺灣博物館
國立臺灣科學教育院,33032,國立臺灣科學教育院
國立臺灣藝術教育館,33034,國立臺灣藝術教育館
國籍,7156,國籍
國語,7147,國語
國語,3874,官話
國軍,50843,國軍
國軍歷史文物館,33035,國軍歷史文物館
國道,54340,國道
國防,7120,國防
國際,7148,國際
圍,11863,縖
圍仔內,40181,圍仔內
圍兜,12093,頷垂
圍兜,13014,瀾垂
圍堵,54421,圍堵
圍巾,12072,頷巾
圍巾,8279,圍巾
圍捕,54420,圍捕
圍棋,8299,圍棋
圍標,51155,圍標
圍爐,8308,圍爐
圍牆,12249,牆仔
圍牆,12252,牆圍
圍牆,8306,圍牆
圍裙,8650,煮食裙仔
圍裙,8307,圍軀裙
圍裙,31028,e33 pu55 long51
圍觀,53185,圍觀
園,9380,園
園區,50721,園區
園地,53215,園地
園藝,54484,園藝
園遊會,54483,園遊會
圓,9381,圓
圓仔湯,9397,圓仔湯
圓仔花,2638,百日紅
圓光門,9416,圓栱門
圓圈,9424,圓箍仔
圓圓的,9419,圓圓
圓型紙牌,3091,尪仔標
圓山,36026,圓山
圓山仔,40196,圓山仔
圓形,53216,圓形
圓房,6058,捒做堆
圓滿,9423,圓滿
圓環,9433,圓環
圓鍬,3321,沙挑
圖,10441,圖
圖像,50795,圖像
圖形,50857,圖形
圖書,10462,圖書
圖書館,10463,圖書館
圖案,51329,圖案
圖樣,52836,圖樣
圖片,52265,圖片
圖示,53248,圖示
圖表,52266,圖表
圖騰,54540,圖騰
團,10442,團
團員,50725,團員
團圓,10466,團圓
團圓節,691,中秋
團圓節,693,中秋節
團結,10465,團結
團費,54539,團費
團長,53802,團長
團隊,50750,團隊
團體,50213,團體
團魚,13289,鱉
土,5731,倯
土,192,土
土,9385,塗
土偶,9402,塗尪仔
土包子,290,土包仔
土匪,411,土匪
土味,6615,臭塗味
土地,316,土地
土地公,317,土地公
土地公生日,12080,頭牙
土地稅,2361,地租
土城,36064,土城
土城市,35039,土城市
土堆,3831,帕
土塊,9413,塗墼
土庫鎮,35184,土庫鎮
土房,9414,塗墼厝
土托魚,6917,馬鮫
土托魚,9426,塗魠
土撥鼠,12502,鼢鼠
土星,52329,土星
土木,263,土木
土狗,3246,杜伯仔
土產,2224,名產
土腥味,6615,臭塗味
土色,9401,塗色
土蠶,12707,雞母蟲
土裡土氣,5731,倯
土雞,558,土雞仔
土風舞,52330,土風舞
土龍,9432,塗龍
土龍,3259,杜蚓仔
在,4787,咧
在,2871,佇
在,2922,佇咧
在,11508,踮
在,2138,在
在,12651,蹛
在世,2153,在世
在世,2166,在生
在何時,3869,底當時
在來米,2190,在來米
在場,51953,在場
在室女,2203,在室女
在座,2211,在座
在於,653,介在
在職,2269,在職
在野,2228,在野
在野黨,50626,在野黨
地,2278,地
地上,9422,塗跤
地下,2300,地下
地下室,52383,地下室
地下道,2303,地下道
地下鐵,52648,地下鐵
地主,2314,地主
地主,2003,田僑仔
地位,4528,門戶
地位,2333,地位
地價,2412,地價
地利,52984,地利
地勢,2337,地形
地區,2305,地方
地區,50032,地區
地圖,51499,地圖
地址,2334,地址
地址,2909,住址
地基,2368,地基
地層,54057,地層
地帶,52647,地帶
地形,2337,地形
地攤,10278,路邊擔仔
地支,2304,地支
地方,3490,角勢
地方,4017,所在
地方,2305,地方
地方,2421,地頭
地方惡霸,1274,王爺
地板,9422,塗跤
地板,51282,地板
地標,54058,地標
地檢署,51121,地檢署
地步,3052,坎站
地步,2339,地步
地段,52985,地段
地毯,2384,地毯
地獄,2410,地獄
地球,50915,地球
地理,2373,地理
地理先生,2375,地理師
地理師,2375,地理師
地瓜,8782,番薯
地瓜塊,8785,番薯箍
地瓜粉,8784,番薯粉
地瓜絲,8786,番薯簽
地產,51197,地產
地痞,8429,惡霸
地皮,2320,地皮
地盤,2354,地界
地盤,2415,地盤
地盤,2421,地頭
地祇,2369,地基主
地脈,12138,龍脈
地表,52384,地表
地質,52986,地質
地雷,53498,地雷
地震,2313,地牛翻身
地震,2367,地動
地面,9422,塗跤
地面,50687,地面
地頭,2415,地盤
地點,2426,地點
地龍,3259,杜蚓仔
圳,2279,圳
均勻,10975,齊勻
坎,3035,坎
坎坷,3046,坎坎坷坷
坐,3036,坐
坐享其成,8262,割稻仔尾
坐向,3044,坐向
坐墊,8534,椅墊仔
坐月子,6958,做月內
坐月子房間,853,月內房
坐牢,3058,坐監
坐監,3058,坐監
坐禪,3060,坐禪
坐骨,1682,尻川骨
坑,3038,坑
坑,9816,窟仔
坑洞,9816,窟仔
坑洞,9410,塌空
坦克車,11698,戰車
坦然,51971,坦然
坦率,3722,坦白
坦率,7509,條直
坦白,3722,坦白
坪,3717,坪
坪數,51515,坪數
坪林尾,40100,坪林尾
坪林鄉,35046,坪林鄉
坯,3718,坯
坯料,7770,粗坯
垂,4798,垂
垂下,10955,頕低
垂肩,4810,垂肩
垂頭 ,2130,向
垃圾,12300,糞埽
垃圾堆,12301,糞堆
垃圾市場,12302,糞埽市場
垃圾桶,12305,糞埽籠
垃圾桶,12304,糞埽桶
垃圾車,12303,糞埽車
型式,52445,型式
型態,50271,型態
型錄,51526,型錄
垢,9716,滓
埋,5876,埋
埋,5877,埋
埋伏,54255,埋伏
埋怨,54256,埋怨
埋葬,2301,安土
埋葬,2397,安葬
埋葬,80,入土
埋葬,9987,落葬
城,4834,城
城,4835,城
城,41099,城
城堡,52446,城堡
城市,4848,城市
城池,4858,城隍
城隍廟,4859,城隍廟
城隍爺,4858,城隍
埔,5878,埔
埔姜崙,40144,埔姜崙
埔姜頭,40145,埔姜頭
埔心,34012,埔心
埔心鄉,35153,埔心鄉
埔里鎮,35167,埔里鎮
埔鹽鄉,35152,埔鹽鄉
埕,5879,埕
埠,7096,埠
埤,7097,埤
埤頭鄉,35160,埤頭鄉
執勤,54343,執勤
執意,52491,執意
執政,52020,執政
執業,53679,執業
執法,7124,執法
執照,8679,牌照
執照,7142,執照
