華語,詞條編號,詞條名稱
上班,50496,上班
上等,461,上等
上等,31055,jio55 toh3
上等貨,1778,幼貨
上級,8071,頂面
上級,8056,頂司
上級,8102,頂頭
上網,53365,上網
上聲,552,上聲
上肢胳臂,1052,手骨
上臂,990,手股
上臺,51466,上台
上菜,425,上桌
上蒼,256,上天
上訴,465,上訴
上課,527,上課
上課,13266,讀冊
上路,52910,上路
上輩,8044,頂勻
上輩子,8053,頂世人
上面,5651,面頂
上面,8071,頂面
上面,8107,頂懸
上面,8102,頂頭
上頭,8107,頂懸
上顎,8039,頂𦜆
上風,13059,贏面
上香,9147,進香
下,175,下
下,176,下
下,9895,落
下世,3551,來世
下令,53360,下令
下來,9942,落來
下個不停,13600,㴙㴙落
下個月,4931,後月日
下個月,4963,後個月
下元,247,下元
下元節,247,下元
下午,440,下晡
下午,439,下晝
下午,259,下午
下半夜,294,下半暝
下半夜,10575,暝尾
下去,9923,落去
下回,4990,後擺
下回,556,下擺
下坡,9970,落崎
下垂,53929,下垂
下場,52909,下場
下墜,9896,落
下屬,492,下跤手人
下屬,289,下司
下山,234,下山
下工,3991,放工
下巴,535,下頦
下巴,217,下𦜆
下巴,559,下顎
下巴,8208,喙下斗
下巴脫臼,9905,落下頦
下巴長,3910,戽斗的
下帖子,4046,放帖仔
下手,260,下手
下手,9912,落手
下旬,51184,下旬
下本錢,9925,落本
下本錢,9400,填本
下棋,2749,行棋
下次,4990,後擺
下次,556,下擺
下毒,4072,放毒
下水,262,下水
下水,9913,落水
下水湯,278,下水湯
下水道,6616,臭溝仔
下注,9946,落注
下流,3793,垃圾鬼
下獄,3058,坐監
下班,3991,放工
下班,8448,散工
下班,51105,下班
下聘,6745,送定
下臺,53361,下台
下船,9973,落船
下落,478,下落
下葬,9987,落葬
下蛋,4030,放卵
下蛋,1908,生卵
下襬,5529,衫仔裾
下課,8494,散學
下課,53362,下課
下賤,3692,卑賤
下賤,6634,臭賤
下車,9940,落車
下輩子,4934,後世人
下輩子,4936,後出世
下輩子,3551,來世
下鄉,52103,下鄉
下酒菜,6878,酒配
下降,50479,下降
下雨,9950,落雨
下雨天,4565,雨來天
下雪,9976,落雪
下面,486,下跤
下面,365,下底
下面,50867,下面
下顎,535,下頦
下顎,217,下𦜆
下顎,559,下顎
下顎,8208,喙下斗
下顎骨,1288,牙槽骨
下風,5612,風尾
不,6654,袂
不,1662,未
不,8588,無
不,818,毋
不,566,不
不一定,8598,無一定
不一定,8633,無定著
不一定,8640,無的確
不一定,4425,的確
不一樣,8611,無仝
不三不四,4563,阿里不達
不三不四,1265,王哥柳哥
不三不四,606,不三不四
不三不四,738,不答不七
不中用,8681,無路用
不中用,8628,無事使
不中用,618,不中用
不久,8658,無偌久
不乾脆,4806,厚沙屑
不乾脆,12137,龜祟
不仁,607,不仁
不但,931,毋但
不但,665,不但
不作聲,11669,噷噷
不便,51024,不便
不信邪,13194,鐵齒
不倒翁,4525,阿不倒仔
不倫不類,738,不答不七
不值得,1019,毋值
不值得,10758,算袂和
不偏不倚,1467,四正
不偏袒,648,中立
