title,radical,non_radical_stroke_count,stroke_count
𪏳,黍,4,16
𪏴,黍,4,16
𪏵,黍,4,16
𪏶,黍,5,17
𪏷,黍,5,17
𪏸,黍,5,17
𪏹,黍,5,17
𪏺,黍,5,17
𪏻,黍,5,17
𪏼,黍,5,17
𪏽,黍,5,17
𪏾,黍,5,17
𪏿,黍,6,18
𪀿,鳥,6,17
𪀃,鳥,5,16
𪒠,黑,12,24
𪒡,黑,12,24
𪒢,黑,12,24
𪒣,黑,12,24
𪒤,黑,12,24
𪒥,黑,12,24
𪒦,黑,12,24
𪒧,黑,12,24
𪒨,黑,12,24
𪒩,黑,13,25
𪒪,黑,13,25
𪒫,黑,13,25
𪒬,黑,13,25
𪒭,黑,13,25
𪒮,黑,13,25
𪒯,黑,13,25
𪁊,鳥,7,18
𪒰,黑,13,25
𪒱,黑,13,25
𪒲,黑,13,25
𪒳,黑,13,25
𪒴,黑,14,26
𪒵,黑,14,26
𪒶,黑,14,26
𪒷,黑,14,26
𪒸,黑,14,26
𪒹,黑,15,27
𪒺,黑,15,27
𪒻,黑,15,27
𪒼,黑,15,27
𪒽,黑,15,27
𪒾,黑,15,27
𪒿,黑,16,28
𪁋,鳥,7,18
𪓀,黑,16,28
𪓁,黑,16,28
𪓂,黑,16,28
𪓃,黑,17,29
𪓄,黑,17,29
𪓅,黑,18,30
𪓆,黑,18,30
𪓇,黑,20,32
𪓈,黑,20,32
𪓉,黑,26,38
𪓊,黑,29,41
𪓋,黹,6,18
𪓌,黹,8,20
𪓍,黹,9,21
𪓎,黹,9,21
𪓏,黹,9,21
𪁌,鳥,7,18
𪓐,黹,11,23
𪓑,黽,1,14
𪓒,黽,2,15
𪓓,黽,2,15
𪓔,黽,4,17
𪓕,黽,4,17
𪓖,黽,4,17
𪓗,黽,4,17
𪓘,黽,4,17
𪓙,黽,4,17
𪓚,黽,5,18
𪓛,黽,5,18
𪓜,黽,5,18
𪓝,黽,5,18
𪓞,黽,5,18
𪓟,黽,5,18
𪁍,鳥,7,18
𪓠,黽,5,18
𪓡,黽,6,19
𪓢,黽,6,19
𪓣,黽,6,19
𪓤,黽,6,19
𪓥,黽,6,19
𪓦,黽,6,19
𪓧,黽,7,20
𪓨,黽,7,20
𪓩,黽,7,20
𪓪,黽,7,20
𪓫,黽,7,20
𪓬,黽,8,21
𪓭,黽,8,21
𪓮,黽,9,22
𪓯,黽,9,22
𪁎,鳥,7,18
𪓰,黽,9,22
𪓱,黽,9,22
𪓲,黽,9,22
𪓳,黽,9,22
𪓴,黽,9,22
𪓵,黽,9,22
𪓶,黽,9,22
𪓷,黽,10,23
𪓸,黽,10,23
𪓹,黽,11,24
𪓺,黽,12,25
𪓻,龜,9,25
𪓼,黽,13,26
𪓽,黽,12,25
𪓾,黽,13,26
𪓿,黽,14,27
𪁏,鳥,7,18
𪀄,鳥,5,16
𪖠,鼻,5,19
𪖡,鼻,6,20
𪖢,鼻,6,20
𪖣,鼻,6,20
𪖤,鼻,6,20
𪖥,鼻,7,21
𪖦,鼻,7,21
𪖧,鼻,7,21
𪖨,鼻,7,21
𪖩,鼻,7,21
𪖪,鼻,7,21
𪖫,鼻,7,21
𪖬,鼻,7,21
𪖭,鼻,8,22
𪖮,鼻,8,22
𪖯,鼻,9,23
𪁚,鳥,7,18
𪖰,鼻,9,23
𪖱,鼻,9,23
𪖲,鼻,9,23
𪖳,鼻,10,24
𪖴,鼻,10,24
𪖵,鼻,10,24
𪖶,鼻,11,25
𪖷,鼻,11,25
𪖸,鼻,11,25
𪖹,鼻,11,25
𪖺,鼻,11,25
𪖻,鼻,12,26
𪖼,鼻,12,26
𪖽,鼻,12,26
𪖾,鼻,13,27
𪖿,鼻,13,27
𪁛,鳥,7,18
𪗀,鼻,13,27
𪗁,鼻,16,30
𪗂,鼻,17,31
𪗃,鼻,18,32
𪗄,齊,0,14
𪗅,齊,2,16
𪗆,齊,3,17
𪗇,齊,4,18
𪗈,齊,4,18
𪗉,齊,5,19
𪗊,齊,5,19
𪗋,齊,6,20
𪗌,齊,6,20
𪗍,齊,8,22
𪗎,齊,7,21
𪗏,齊,11,25
𪁜,鳥,7,18
𪗐,齊,11,25
𪗑,齊,11,25
𪗒,齊,14,28
𪗓,齊,16,30
𪗔,齒,2,17
𪗕,齒,2,17
𪗖,齒,2,17
𪗗,齒,2,17
𪗘,齒,3,18
𪗙,齒,3,18
𪗚,齒,3,18
𪗛,齒,4,19
𪗜,齒,4,19
𪗝,齒,4,19
𪗞,齒,4,19
𪗟,齒,4,19
𪁝,鳥,7,18
𪗠,齒,4,19
𪗡,齒,4,19
𪗢,齒,4,19
𪗣,齒,4,19
𪗤,齒,4,19
𪗥,齒,5,20
𪗦,齒,5,20
𪗧,齒,5,20
𪗨,齒,5,20
𪗩,齒,5,20
𪗪,齒,5,20
𪗫,齒,5,20
𪗬,齒,5,20
𪗭,齒,5,20
𪗮,齒,5,20
𪗯,齒,5,20
𪁞,鳥,7,18
𪗰,齒,5,20
𪗱,齒,5,20
𪗲,齒,5,20
𪗳,齒,5,20
𪗴,齒,5,20
𪗵,齒,5,20
𪗶,齒,5,20
𪗷,齒,6,21
𪗸,齒,6,21
𪗹,齒,6,21
𪗺,齒,6,21
𪗻,齒,6,21
𪗼,齒,6,21
𪗽,齒,6,21
𪗾,齒,6,21
𪗿,齒,6,21
𪁟,鳥,7,18
𪀅,鳥,5,16
𪚠,龍,7,23
𪚡,龍,7,23
𪚢,龍,9,25
𪚣,龍,11,27
𪚤,龍,11,27
𪚥,龍,48,64
𪚦,龜,0,16
𪚧,龜,5,21
𪚨,龜,2,18
𪚩,龜,3,19
𪚪,龜,3,19
𪚫,龜,4,20
𪚬,龜,4,20
𪚭,龜,4,20
𪚮,龜,4,20
𪚯,龜,4,20
𪁪,鳥,7,18
𪚰,龜,4,20
𪚱,龜,4,20
𪚲,龜,4,20
𪚳,龜,4,20
𪚴,龜,4,20
